id_jogo,nm_jogo,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes,cluster
8627,Through The Ages: Uma Nova História da Civilização,2015,2017.0,2,4.0,180,14,1415,387,273,1405,1749,7,0,8.77,951,1
31237,Keep the Heroes Out!,2022,2022.0,1,4.0,50,10,1168,119,172,1497,1435,9,2,8.77,478,1
54747,Inferno,2024,2024.0,1,4.0,120,14,434,49,37,603,766,11,0,8.76,212,1
11112,Mansions of Madness (2ª Edição),2016,2017.0,1,5.0,180,14,3986,793,845,3275,3886,13,4,8.76,2227,0
80859,Memoir '44 (Edição Revisada),2025,2025.0,2,8.0,60,8,141,9,13,189,78,15,1,8.76,53,1
67183,DCeased: Gotham City Outbreak,2024,2026.0,1,4.0,60,14,149,7,13,107,64,9,2,8.76,27,1
27957,Descent: Lendas da Escuridão,2021,2021.0,1,4.0,180,14,909,152,123,1081,601,13,3,8.76,315,1
7231,Pandemic Legacy: 1ª Temporada,2015,2015.0,2,4.0,60,13,1394,301,206,1601,1271,9,0,8.76,765,1
39885,Dungeon Fighter: Nas Câmaras de Magma Malevolente,2022,2022.0,1,4.0,60,8,69,8,4,118,45,3,2,8.76,22,1
8201,Arcadia Quest: Inferno,2017,2018.0,2,4.0,60,13,752,152,111,736,436,9,2,8.76,294,1
57677,Civolution,2024,2026.0,1,4.0,180,14,83,3,11,485,187,11,1,8.75,57,1
6764,Scythe,2016,2017.0,1,5.0,90,14,3688,613,868,3677,5384,16,3,8.75,2448,0
5058,Five Tribes,2014,2018.0,2,4.0,80,13,2736,564,528,2479,4340,13,0,8.75,2029,0
66640,Star Wars: The Deckbuilding Game – Clone Wars Edition,2024,2026.0,2,2.0,30,12,169,0,8,235,78,3,3,8.75,34,1
66495,Geeks Vs Trolls,2026,2026.0,1,6.0,15,10,239,10,15,156,191,4,1,8.75,170,1
38119,Horizontes de Spirit Island ,2022,2026.0,1,3.0,120,13,194,12,6,102,90,9,1,8.75,26,1
80863,Galhos,2026,2026.0,1,4.0,30,14,101,3,4,98,143,6,3,8.74,47,1
25051,Unmatched: Becos e Brumas,2020,2023.0,2,4.0,40,9,586,96,56,485,640,3,3,8.74,205,1
33831,Monstros & Tesouros,2022,2022.0,1,4.0,120,14,420,50,42,275,173,4,2,8.74,126,1
1860,Caverna: The Cave Farmers,2013,2022.0,1,7.0,210,14,2238,376,361,2185,2788,6,0,8.74,1323,0
9712,Catan: Plus,2019,2020.0,3,6.0,75,10,470,61,62,467,407,5,0,8.74,164,1
24553,Hansa Teutonica: Big Box,2020,2021.0,3,5.0,90,12,1127,196,99,607,1555,7,0,8.73,528,1
47270,Marvel United: Spider-Geddon,2023,2024.0,1,5.0,40,14,757,33,36,260,362,5,3,8.73,141,1
24241,Foundations of Rome,2022,2024.0,2,4.0,90,13,137,14,28,547,378,7,1,8.73,82,1
2194,Concordia,2013,2017.0,2,5.0,100,12,1016,264,193,1714,2195,13,0,8.73,869,1
68254,Dorfromantik: Sakura,2024,2026.0,1,6.0,90,10,199,6,10,193,120,6,0,8.72,40,1
23070,High Frontier 4 All,2020,2022.0,1,5.0,240,14,265,34,37,361,195,10,1,8.72,87,1
58195,Yokohama: Segunda Edição,2024,2024.0,2,4.0,90,14,339,26,19,365,417,9,0,8.72,130,1
17370,Fury of Gods,2026,2026.0,2,4.0,30,12,3,0,5,59,56,5,2,8.72,18,1
9538,Anachrony,2017,2022.0,1,4.0,120,14,1301,223,196,1269,1838,6,1,8.72,749,1
25979,7 Wonders: Segunda Edição,2020,2021.0,3,7.0,30,10,2442,183,273,1259,2585,4,2,8.71,1092,1
83772,Nevasca,2026,2026.0,2,5.0,30,14,287,6,40,199,208,3,1,8.71,115,1
23420,Marco Polo II: Ao Serviço do Khan,2019,2020.0,2,4.0,120,12,586,140,91,587,952,7,0,8.71,414,1
