,n_jogos_com_mecanica,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes
Lance para Ordem de Seleção,2,-0.007681299921139048,-0.0056378053035584744,-0.008221018301801615,0.0038658546861385645,0.02705795867896104,0.027710132182944477,-0.02021031556378125,-0.0029029377613814383,-0.013346133940987931,-0.01095372028141969,-0.009501053258403643,0.03462622374038887,-0.05784081494733634,-0.019088150359769147,-0.009569841771813404
Legado,9,0.0026508534179253327,-0.03211726854706376,0.012572122756588588,-0.01434642518063381,0.017903429368730944,0.05381079471298138,0.006425554045836002,0.009624001118895532,0.02451827028353957,0.057323272865146865,-0.025972372809795363,0.19967032446553823,-0.0256301514683182,0.09353061284798546,-0.007580162326202532
Leilão / Lances,24,-0.004102348058566277,-0.11693196298668984,0.0953370195504682,0.005619768333049757,0.0937002329401424,0.0812456330609064,0.026488282551288458,0.09500938238895718,0.0419798916887934,0.035038983441748,0.04580110105098648,0.08081176859612836,-0.08267189162899083,-0.0771024654135429,0.060176574102975534
Leilão: 1 Rodada,0,,,,,,,,,,,,,,,
Leilão: Colocação Fixa,3,-0.0017529831420048897,-0.0692831591592396,0.04183101325487884,0.01586758789774126,0.026523037258883102,0.024863303508726016,0.006583929396497644,0.05661265444521117,0.016339590805828044,0.022370345838299614,0.027264969360593194,0.054494288941517706,-0.0077117705575896565,-0.03539300146468309,0.0330881445409536
Leilão: Economia Fechada,0,,,,,,,,,,,,,,,
Leilão: Lance Selado,4,0.0008976216250456766,-0.06804785097555185,0.10831947525355377,0.00547522564557365,0.0498325268194225,0.015587052873806318,0.06439077101886762,0.09931427894910615,0.07466826703902597,0.05085332371267728,0.05269145021659595,0.1326203521359978,-0.008911369560607098,-0.051381003314380856,0.06905472143401709
Leilão: Lance Único,3,-0.0005965159709514583,-0.06235280490382876,0.041831013254878875,-0.006391225450302181,0.05751215295654723,0.033962897903738735,-0.0026287991218332113,0.028953121391239022,0.02095150195943453,0.0523804598733771,0.017290832098285823,0.042439599130121505,-0.04983228444643252,0.025473011802403175,0.016193300986519096
Leilão: Lances Restritos,6,0.0018181055765348977,-0.03926226575898682,0.08381313370173199,0.006715696350049112,0.012493964826455766,0.028791499047785777,0.014908519741258432,0.043487136940139025,0.03673531856433669,0.04377393178900087,0.04088382668863997,0.07723788518493682,-0.04078024688280826,-0.045187481814409826,0.03768938966666174
Leilão: Lote Múltiplo,1,-0.0026773500598558445,-0.0639137642497873,0.024115551833351265,0.012355701905424564,0.0076339972495358755,0.003841857784869163,-0.004020182534739918,0.03450177679644969,0.002943287584442318,0.012462613630295744,0.013096483300005641,0.08701208845377087,-0.04086950383181908,-0.02512759066988843,0.013744930545038031
