,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes
Eliminação de Jogadores,0.8769658713883365,0.9829231100059933,0.022917367239894224,0.1646272734507429,0.19738600277038817,0.43350646867477327,0.6271682028593432,0.34624972726476905,0.7067370601717237,0.2467839687341134,0.354079567226157,0.056157147131938895,6.273591218733051e-07,0.3601874064370559,0.48665927930947067
Empilhar e Equilibrar,0.9310742405427181,0.2522940352191401,0.35216800240718393,0.9433186364987348,0.31856884841899613,0.01814388759526662,0.7466849992724128,0.5430118770100696,0.618226665768101,0.5992451627781374,0.651005995574975,0.6537715053881358,0.907874169954702,0.22706259715519703,0.626129092263945
Empréstimos,0.9341529087757763,0.1375799821604119,0.8378937673557503,0.9925895377947013,0.015320192327520861,0.27962131037697446,0.8974036613316952,0.6521781151171617,0.6737961548797267,0.39295285243679917,0.7159214899661085,0.01377649467783321,0.006981299299745592,0.16365513404519277,0.8524057988636178
Encadeamento,0.9645080094452522,0.20300724982816382,0.9404731530627907,0.6833626859087539,0.818119103361329,0.33579208237127117,0.0452892853939396,0.11473838635674595,0.07302268549488304,0.1557466714599107,0.05449120157030275,3.389979339535572e-05,0.8979703136090061,0.4299946442913397,0.05775419586806044
Escalada,0.9318077002365682,0.3383572748796942,0.8305570900433606,0.6663233275339481,0.06629614465193971,0.8820697470089416,0.07391274331953851,0.640923821612959,0.8159640360814482,0.9813370912822711,0.14788159653959615,0.1603889450668584,0.6120475344411787,0.6458093612323131,0.4496423784900329
Escolha Narrativa,0.9324562273953557,0.46691975847238193,0.048620695586302116,0.8631261273322,0.0990851180039804,0.1730354894095724,0.3804201777589448,0.031581136263392644,0.029284156541062093,0.0005744368764029483,0.5137905858090507,1.720658585744246e-19,0.25377895426041513,0.4565675303798339,0.2971822770074935
Especulação de Commodities,0.9189996877717883,0.011702782550961539,0.6302528543743082,0.8009273449539753,0.018757951163193703,0.75021675421224,0.12755693242065352,0.011071193939882618,0.3180921285645405,0.1520389814849126,0.09728033819110514,0.027522986031641865,0.005256433351450744,0.4003310865255335,0.06463226541030186
Eventos,0.904564282055462,0.3229918874289943,0.7909737313095859,0.6574609247706901,1.631938107068486e-07,0.0019802676208733275,0.3470535816955005,0.009694602961730456,0.10300572338846294,0.024547273194419877,0.6026957599626469,3.2049253469935047e-10,0.4426948113910047,0.29200287396472235,0.29537152742608874
Ficha de Vantagem,0.9272248388326211,0.010401124577081382,0.7897770371602313,0.7350260676804093,0.011210728376798953,0.4535170167627745,0.029274880928859073,0.00015230659199854386,0.015028665294080965,0.01720810915072549,0.06829040242279123,5.441514948682288e-05,0.025681683361490525,0.8202284959543157,0.017480008560300377
Fila de Ações,0.9774770604988879,0.09766721715841865,0.567800616437414,0.45593993383212034,0.0408972264978725,0.04144368135413777,0.1969239244760505,0.002091015946656496,0.04242576589381204,0.01818644179035486,0.31305513663007684,7.828083563812393e-07,0.22806364283026082,0.6164250748925891,0.18188530474518744
Fila de Recursos,0.9318077002365682,0.940992709199065,0.18778307154566753,0.7995639986708867,0.9993381157304955,0.6612087830891169,0.9249668831873405,0.8778278130239529,0.768256924776044,0.9907687030358023,0.7741117429765668,0.36729565257415303,0.6120475344411722,0.7280565572624532,0.9262782803801117
Fim por Morte Súbita,0.9719364561346294,0.03150075545189677,0.10400491884320572,0.36594460679600505,0.3976842950718375,0.8338993281832464,3.556511767145289e-06,1.6943613634316198e-05,8.565616914146678e-06,0.00039024757320541795,0.0006603958713694562,4.1935779274536856e-07,0.8498516573521964,0.917616500087561,1.887214119335935e-05
Force sua sorte,0.8015440719482733,0.6822515696177684,0.047310960739148165,0.3004898776703265,0.5087668134247072,0.5221367111295363,0.03341183991806664,0.581659862581758,0.3097790140537793,0.07705179915216169,0.03232949013304423,0.018570805603311823,0.05549153148921204,0.8490813291309731,0.08859198732031429
Fundir e Espalhar,0.9926229682398129,0.2968192553226099,0.7618319458861909,0.6275489616748526,0.6522739265390469,0.1490663282950257,0.3113526972380506,0.646031123053904,0.8197142030851413,0.8740041350945315,0.4609192972474624,0.0917660642602114,0.03178428600947689,0.3010688773857925,0.7870266158180065
Gerenciamento de Mãos,0.48293859970661973,0.12344918734093345,0.4346716956375326,0.050682594161924215,0.5809354509700888,0.3265775366217071,0.059179639842331135,0.023607107778408125,0.029217129589810435,0.05076993076689065,0.2227572207630821,4.694723600591461e-05,0.5620648913213808,0.009890221317169401,0.10260075532652899
Grade Hexagonal,0.8931656466791217,0.9294716248618686,0.578669737426286,0.6744422146380838,9.512483574179953e-05,0.9264001170100657,0.07232954648909204,0.023144548520782113,0.0003135657111116991,0.0003311433704326729,0.06704164568420423,6.825956191441094e-16,0.31880363445359466,0.021657688145846846,0.03144095892029012
Grade com Quadrados,0.8977885224048456,0.7811253852249671,0.8526603787315633,6.001504865252854e-06,0.24972213549989622,0.08646166204862298,0.9617880771667489,0.5734294150974963,0.9813869773981525,0.6794008732093084,0.7743076450764041,2.7731768416133572e-05,0.47037921109285824,0.6475829012974569,0.7661086325569623
Habilidades 1 vez por Partida,0.8400755804369016,0.5445133052983794,0.1614406597056917,0.39389649940449384,0.61602123506792,0.7634600890612357,0.006555730779560412,0.11999120530610698,0.0007273725381979393,8.266621846609073e-05,0.036054745778380894,1.5102995282149538e-08,0.8018423656518369,0.0038332697141778773,0.022481462370515685
Impulso de Área,0.9384471858623564,0.6083284735213927,0.15890527130247342,0.9624395606091108,8.608460623961167e-11,0.683253416559313,0.9269859706736107,0.8848107851613459,0.26876004497876793,0.1391371621184066,0.888854202324715,6.13394113546067e-05,0.1491463108540126,0.0030526156720043205,0.9408644170189263
Indução,0.9310742405427181,0.2522940352191401,0.530140869362203,0.7477430247188165,0.2313221823938961,0.01814388759526662,0.6776200570056218,0.5232119004855681,0.5995901191842538,0.5342612720202984,0.6863769008762173,0.3214322023465887,0.907874169954702,0.2480140984669924,0.6173348335416404
Influência / Maioria na Área,0.7851761425149687,0.035356724318153315,0.9604619873230538,0.42200035494494675,8.589823130234559e-08,0.04382596164127799,0.4737400566711636,0.14233471911214593,0.7654720445808266,0.4166013202949092,0.8056066499106387,5.4015470774610955e-05,0.029324558876845683,0.6168444466441173,0.9039013352409638
Investimento,0.9586980380090191,0.08938059742958486,0.9154979836341964,0.8481591752015121,0.01884088477189032,0.37450203753190664,0.8717075285413425,0.1750101871700624,0.9512321424664161,0.6938141485367445,0.6249207542300643,0.01557715811520264,0.004576516381919954,0.32299525681139163,0.6980111598961787
Jogador Juiz,0.8880037192312469,0.10502502617717902,0.3742101822681869,0.6489743154061252,0.07745447589910508,0.005693171692723678,0.45581670715770867,0.35313176697675847,0.4620151896613179,0.29292716211916214,0.4483409873812942,0.3081408683233554,0.6120475344411787,0.4596923608367459,0.4525137263590796
Jogadores com Diferentes Habilidades,0.47287363367023905,0.14594369195143658,0.0005968667043771488,0.325500748662066,1.4703985023851448e-07,3.405924775681334e-08,0.43852544962573714,0.007127798589528063,0.0014400936222824846,0.0035895150313116813,0.6581525514360617,3.9867433793626496e-16,4.987340133853357e-06,0.008474003221028753,0.4408009599870021
Jogo em Equipe,0.7716063492842962,0.5747807935883351,0.8085009390229376,0.11815973134792666,0.24814826129530373,0.14411057869298444,0.5150381463656946,0.8193245413653868,0.20809550777065938,0.027552594599910704,0.8047600156810045,5.890492343312881e-09,0.000172342770708293,0.002836817861872055,0.892364501354116
Lance para Ordem de Seleção,0.8415288924190598,0.8833319855318529,0.8305570900433606,0.9198488927228978,0.481173693655626,0.4706628604140098,0.5988154779464223,0.9397689671076046,0.7282910035320286,0.7755513517437042,0.8046707057994749,0.36729565257415303,0.1318643382809992,0.6192683422462011,0.8032853445097539
Legado,0.9449906192261622,0.4030475898440787,0.7434783329076867,0.7088210424062017,0.6411849083611314,0.16102042640094424,0.8671722391526462,0.8021950397662752,0.523292773820882,0.13536234266759115,0.4989488198706854,1.5198159930656427e-07,0.5046235949328092,0.014693645128584624,0.8435883821804332
Leilão / Lances,0.9149636851901913,0.002257477012080157,0.01287606798741112,0.8837025872738987,0.01451386367101933,0.034155442005643535,0.4904582859932846,0.013190196715313449,0.2743193622733462,0.36160869655564254,0.23295741085365013,0.03512773491842238,0.03111930222658087,0.04444390227538742,0.11694018668355068
Leilão: 1 Rodada,,,,,,,,,,,,,,,
