place_id,nome,endereco,capital_busca,termos_busca,termos_alta_precisao,varejo_grande,grupo_categoria,categorias_google,avaliacao_media,volume_avaliacoes,status_google,site_ou_rede_social,instagram_usuario,link_google_maps,data_coleta,evidencia_espaco_jogo,relevante,observacao,tem_fotos_maps,fotos_comprovam,tem_instagram,instagram_comprova
ChIJcXMvWLw5J5URMi14sXDeTsw,Parlenda Educational Toys,"Direto do Campo Mezanino - Av. Me. Benvenuta, 1313 - Santa Monica, Florianópolis - SC, 88035-000, Brazil",Florianópolis,board game,0,nao,loja,toy_store;store;point_of_interest;establishment,4.8,100,OPERATIONAL,https://www.parlendabrinquedos.com.br/,,https://maps.google.com/?cid=14721948807515876658&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJWSYSTAbhYY0R6eakNIGfTyM,Magazine Fortaleza Kids,"Macapá Shopping - R. Leopoldo Machado, 2334 - Central, Macapá - AP, 68900-067, Brazil",Macapá,board game,0,nao,loja,toy_store;point_of_interest;store;establishment,4.3,76,OPERATIONAL,,,https://maps.google.com/?cid=2544427691770439401&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJz2CeJ3SMf5ER2iBb01SF_as,Duda Presentes,"Av. Antônio da Rocha Viana, 4275 - Vila Nova, Rio Branco - AC, 69921-084, Brazil",Rio Branco,board game,0,nao,loja,gift_shop;store;point_of_interest;establishment,4.8,57,OPERATIONAL,https://www.instagram.com/duda_presentesac/,duda_presentesac,https://maps.google.com/?cid=12393208348963184858&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJP1G0Fq1FAQcRKpLXpZdnQNM,To You Presentes - Jatiúca,"R. Profa. Maria Esther da Costa Barros, 109 - Jatiúca, Maceió - AL, 57035-180, Brazil",Maceió,board game,0,nao,loja,toy_store;point_of_interest;store;establishment,4.3,54,OPERATIONAL,https://www.instagram.com/toyoupresentes/,toyoupresentes,https://maps.google.com/?cid=15222280641532367402&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJicQUYhsbFgcRKZ8hS0AXVrU,RI HAPPY,"Av. Tancredo Neves, 3133 - Lj 1.204 - Caminho das Árvores, Salvador - BA, 41820-021, Brazil",Salvador,board game,0,nao,loja,toy_store;point_of_interest;store;establishment,3.7,50,OPERATIONAL,http://www.rihappy.com.br/,,https://maps.google.com/?cid=13066656933767913257&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJ____SAbhYY0RQ4c3KWejXXo,CAVERNA - COLLECTIBLE STORE,"Av. Ernestino Borges, 994f - Julião Ramos, Macapá - AP, 68908-198, Brazil",Macapá,board game,0,nao,loja,toy_store;store;point_of_interest;establishment,4.7,48,OPERATIONAL,https://www.lojascaverna.com.br/,,https://maps.google.com/?cid=8817383308929763139&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,inconclusivo,sim,não
ChIJq8joJI6zGgcRvThchmOSbpY,Pinokio,"R. Dep. Euclídes Paes Mendonça, 102 - 13 de Julho, Aracaju - SE, 49025-000, Brazil",Aracaju,board game,0,nao,loja,toy_store;museum;manufacturer;store;point_of_interest;establishment,4.4,46,OPERATIONAL,https://meulink.com.vc/pinokio-brinquedos/,,https://maps.google.com/?cid=10839762309280970941&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,inconclusivo,não,
ChIJl6FRe0zxXpMRzTecnTZJjHI,Mythos TCG,"R. Rio Verde, 412 - Jardim Guanabara, Goiânia - GO, 74786-395, Brazil",Goiânia,board game,0,nao,loja,toy_store;store;point_of_interest;establishment,4.8,44,OPERATIONAL,http://www.mythostcg.com.br/,,https://maps.google.com/?cid=8254052715984598989&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,inconclusivo,sim,inconclusivo
ChIJRzrgF4cFk40RnT_HGVDoP9E,Gamingtechbv,"R. Profa. Antonia Cutrim, 1181 - Jardim Equatorial, Boa Vista - RR, 69316-755, Brazil",Boa Vista,board game,0,nao,loja,electronics_store;store;point_of_interest;establishment,5,37,OPERATIONAL,https://www.instagram.com/gamingtechbv?igsh=cGZuYnR4cWxmbmg0&utm_source=qr,gamingtechbv,https://maps.google.com/?cid=15078025508187226013&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJgXiqqO0Fk40R97pZyQsIez4,Cris Variedades,"Av. Manoel Felipe, 2287 - Asa Branca, Boa Vista - RR, 69312-288, Brazil",Boa Vista,board game,0,nao,loja,store;point_of_interest;service;establishment,4.3,33,OPERATIONAL,,,https://maps.google.com/?cid=4502201099202706167&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJh8fyHboYqwcRqcV2HDW3gRE,TechPrime Eletrônica,"R. Mário Campelo, 153b - Várzea, Recife - PE, 50741-430, Brazil",Recife,board game,0,nao,loja,store;point_of_interest;establishment,3.9,29,OPERATIONAL,,,https://maps.google.com/?cid=1261490809379145129&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,inconclusivo,não,
