place_id,nome,endereco,capital_busca,motivo_descarte,termos_busca,categorias_google,avaliacao_media,volume_avaliacoes,site_ou_rede_social,data_coleta
ChIJuZ1Ic4N_mQARIx6FfT_KSqg,The Maze Rio,"Comunidade Tavares Bastos - R. Tavares Bastos, 414 - Casa 66 - Catete, Rio de Janeiro - RJ, 22221-030, Brazil",Rio de Janeiro,sem_termo_chave,board game bar,cultural_landmark;bar;point_of_interest;establishment,4.6,1379,https://www.instagram.com/themaze_rio/,2026-09-01
ChIJX5zANwCNpJIRqolsTPu6P7E,The Vault Pub,"Marco, Belém - Pará, 66095-490, Brazil",Belém,so_termo_baixa_precisao,quiz bar,restaurant;point_of_interest;food;establishment,5,12,,2026-09-01
ChIJRxPaYy6apgAR61kI-FK0Ujo,Thematic Bar,"Rua Pirite, 187 - Santa Tereza, Belo Horizonte - MG, 31010-420, Brazil",Belo Horizonte,so_termo_baixa_precisao,quiz bar,bar;restaurant;point_of_interest;food;establishment,4.3,1536,https://bartematico.com.br/,2026-09-01
ChIJaYPlHHw3J5URGi3OzFGbBrE,Toca da Lilica Café Brincante,"R. Des. Pedro Silva, 2958 - Coqueiros, Florianópolis - SC, 88080-701, Brazil",Florianópolis,so_termo_baixa_precisao,ludoteca,coffee_shop;cafe;confectionery;event_venue;food_store;store;food;point_of_interest;establishment,4.6,332,https://www.instagram.com/tocadalilica/,2026-09-01
ChIJKUt41jAltgARthoxe_e-_pY,Toca do Lobo - Locadora de Jogos Lúdicos,"R. Carlos Almeida Neto, nº 14 - quadra 15 - Juparanã, Linhares - ES, 29900-600, Brazil",Vitória,fora_da_rm_da_capital,clube de jogos de tabuleiro,association_or_organization;point_of_interest;establishment,5,1,https://tocadolobo.acervodejogos.com.br/,2026-09-16
ChIJi_B5ORw3C4wR08fK74ipWno,Tress Colorê,"Alameda Monteiro Lobato - Quintas II, Nova Lima - MG, 34003-326, Brazil",Belo Horizonte,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,5,10,,2026-09-01
ChIJjTrTRHlIxwcRTHfNOCvZF5s,Turatti - Gastrobar & Parrilla,"R. Ana Bilhar, 1178 - Varjota, Fortaleza - CE, 60160-110, Brazil",Fortaleza,so_termo_baixa_precisao,quiz bar,bar_and_grill;brewery;bar;manufacturer;service;restaurant;food;point_of_interest;establishment,4.6,5787,https://cervejariaturatti.com.br/,2026-09-01
ChIJhUtqognj3JQRpVZ3Ea0kmSc,UniDanitê BrincaLab,"Av. do Batel, 1868 - Lj 342 L3 - Batel, Curitiba - PR, 80420-090, Brazil",Curitiba,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,4.6,33,https://www.unidanite.com.br/,2026-09-01
ChIJceg5KdRJxwcRBFwPu0TYhnQ,Vibe 085,"Av. Almirante Barroso, 877 - Praia de Iracema, Fortaleza - CE, 60060-440, Brazil",Fortaleza,so_termo_baixa_precisao,quiz bar,night_club;gastropub;cocktail_bar;live_music_venue;bar;event_venue;restaurant;food;point_of_interest;establishment,4.5,299,https://www.hubt.com.br/vibe-085-bar/,2026-09-01
ChIJdXWiLTcbbJIR5cUrgJEbr00,Videra Loja virtual,"Rua Áurea Graciano, 15 - Col. Santo Antônio, Manaus - AM, 69093-045, Brazil",Manaus,sem_termo_chave,board game;clube de jogos de tabuleiro;jogos de tabuleiro;loja de jogos de tabuleiro,point_of_interest;association_or_organization;establishment,5,1,,2026-09-01
