place_id,nome,endereco,capital_busca,motivo_descarte,termos_busca,categorias_google,avaliacao_media,volume_avaliacoes,site_ou_rede_social,data_coleta
ChIJCzg4tSyunZMRiRi_qyz9HXw,Taverna Black Crow,"R. Samatra, 49 - Jardim Shangri-lá, Cuiabá - MT, 78070-170, Brazil",Cuiabá,sem_termo_chave,bar de jogos de tabuleiro;board game bar;café de jogos de tabuleiro;ludobar;quiz bar,cocktail_bar;hamburger_restaurant;american_restaurant;bar;restaurant;point_of_interest;food;establishment,4.6,2178,http://linktr.ee/tcncba,2026-09-01
ChIJ_aHh-XoAswcRN6Xwp5r0PUg,Taverna Pub Medieval Bar & Avalon Events,"R. Dr. Manoel Augusto Bezerra de Araújo, 500 - Ponta Negra, Natal - RN, 59090-430, Brazil",Natal,sem_termo_chave,bar de jogos de tabuleiro;ludobar;quiz bar,restaurant;irish_pub;cocktail_bar;pub;bar;event_venue;food;point_of_interest;establishment,4.5,2695,http://linktr.ee/tavernapub,2026-09-01
ChIJpZbpu_zVBQcRuPFD4K5R8Co,Taverna: Game & Café,"R. Srg. Benevides Montes, 214 - Primavera, Arapiraca - AL, 57300-230, Brazil",Maceió,fora_da_rm_da_capital,bar de jogos de tabuleiro;board game café;café de jogos de tabuleiro,coffee_shop;fast_food_restaurant;snack_bar;meal_takeaway;food_store;cafe;association_or_organization;store;restaurant;food;point_of_interest;establishment,4.9,577,https://tavernagamecafe.nucomercio.com/,2026-09-01
ChIJtaYJGpmvnZMRy-APw1Bxyaw,The Hookah Lounge Bar,"Av. Manoel José de Arruda, 30 - Grande Terceiro, Cuiabá - MT, 78065-700, Brazil",Cuiabá,sem_termo_chave,ludobar,bar;point_of_interest;establishment,4.4,156,https://instagram.com/thehookahloungebar?igshid=p8oszoae2kd5,2026-09-01
ChIJSVSutgFFAQcR3LfVG2MNiFU,The Public House,"Edf. Time - R. Durval Guimarães, 532 - Lj 7 - Ponta Verde, Maceió - AL, 57035-060, Brazil",Maceió,so_termo_baixa_precisao,quiz bar,irish_pub;pub;night_club;bar;restaurant;point_of_interest;food;establishment,4.3,158,https://instagram.com/thepublichousemcz?igshid=YmMyMTA2M2Y=,2026-09-01
ChIJB5IAPaCzGgcRrhUclhYN7Q8,The Stones Authentic Pub,"Av. Gonçalo Prado Rolemberg, 459 - Salgado Filho, Aracaju - SE, 49020-580, Brazil",Aracaju,so_termo_baixa_precisao,quiz bar,bar;point_of_interest;establishment,4.6,379,,2026-09-01
ChIJxXEWfAmzGgcRMAK_lbCt138,Tia Coruja Espaço Recreativo,"R. Cel. Ernâni Carvalho Menezes, 143 - Bugio, Aracaju - SE, 49090-050, Brazil",Aracaju,so_termo_baixa_precisao,ludoteca,child_care_agency;event_venue;association_or_organization;health;service;point_of_interest;establishment,5,25,,2026-09-01
ChIJKQugRCexGgcRIGeGVYPb1cg,Travessuras Kids Aracaju,"Av. Dr. Sílvio Cabral Santana, 775 - Aruana, Aracaju - SE, 49039-280, Brazil",Aracaju,so_termo_baixa_precisao,ludoteca,amusement_center;event_venue;association_or_organization;point_of_interest;establishment,4.4,5,https://www.instagram.com/travessuras_kids_aru/,2026-09-01
ChIJa3o_ohPhYY0R62l0kundIn4,Treta Club,"Av. Pres. Vargas, 2467 - Santa Rita, Macapá - AP, 68901-262, Brazil",Macapá,sem_termo_chave,ludobar;quiz bar,bar;restaurant;food_store;store;point_of_interest;food;establishment,4.6,1155,,2026-09-01
ChIJMZ2Wye6rswcRv14hnLZChPU,Turma da Mika,"vizinho ao coração gelado - Av. Industrial, 50 loteamento - Jardim Progresso, Natal - RN, 59114-268, Brazil",Natal,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,4.7,15,,2026-09-01
ChIJ2VZmPCKvnZMRjnyQxUS728k,University Beer - Cuiabá,"R. Jorn. Roberto Jaques Brunini, 16 - Jardim Paulista, Cuiabá - MT, 78065-400, Brazil",Cuiabá,sem_termo_chave,ludobar;quiz bar,bar;point_of_interest;establishment,4.4,1054,,2026-09-01
ChIJTYUGdQDLJJMRMSyxS5KoHAs,Up gastro bar,"Q. 201 Sul Avenida Joaquim Teotônio Segurado - Plano Diretor Sul, Palmas - TO, Brazil",Palmas,so_termo_baixa_precisao,quiz bar,bar;point_of_interest;establishment,5,1,,2026-09-01
ChIJU7S3QAC3GgcROfSoI3nutKU,Vila Infantil,"R. Delmiro Gouvêia, 2920 - Atalaia - Coroa do Meio, Aracaju - SE, 49035-810, Brazil",Aracaju,so_termo_baixa_precisao,ludoteca,amusement_park;point_of_interest;establishment,4.7,10,,2026-09-01
ChIJYcRUxtznrAcRTqbfrezK69I,Vila do Porto,"Praça São Frei Pedro Golçalves, 8 - Varadouro, João Pessoa - PB, 58010-480, Brazil",João Pessoa,so_termo_baixa_precisao,quiz bar,restaurant;bar;point_of_interest;food;establishment,4.6,1643,https://instagram.com/vila_do_porto,2026-09-01
ChIJkcc-t8eR9gcRDbgpFpoxng4,Villa Vegas,"R. Aririzal, 800 - Cohama, São Luís - MA, 65066-620, Brazil",São Luís,so_termo_baixa_precisao,quiz bar,gastropub;hamburger_restaurant;bar_and_grill;playground;ice_cream_shop;dessert_shop;cafe;acai_shop;brazilian_restaurant;bar;pizza_restaurant;confectionery;food_store;american_restaurant;restaurant;food;store;point_of_interest;establishment,4.6,245,https://linkbio.co/VillaVegas,2026-09-01
ChIJwfTfS7XNJJMRGTAbFSdOke8,Villa kids espaço recreativo,"Q. 110 Sul Alameda 3, lotes 37-39 - Plano Diretor Sul, Palmas - TO, 77020-140, Brazil",Palmas,so_termo_baixa_precisao,ludoteca,sports_activity_location;point_of_interest;establishment,4.4,7,,2026-09-01
ChIJUagRjwHdrAcRYyKvHiZxZ9A,Vintage 21 - V21 Bar e Restaurante,"Av. Fernando Luiz Henriques dos Santos, 1776 - Jardim Oceania, João Pessoa - PB, 58037-051, Brazil",João Pessoa,sem_termo_chave,ludobar,bar;live_music_venue;event_venue;point_of_interest;establishment,4.3,215,,2026-09-01
ChIJ91jnxqCN9gcRF-nKOr7ePP8,Viraventura,"Av. Dr Jackson Kleper, laville - mall, São Luís - MA, 65077-355, Brazil",São Luís,so_termo_baixa_precisao,ludoteca,banquet_hall;event_venue;point_of_interest;establishment,4.8,30,,2026-09-01
ChIJs3KMi1L_sgcR3FpDrFqOqu8,Viva Park Brasil,"R. Francisco Gurgel, 899 - Ponta Negra, Natal - RN, 59090-050, Brazil",Natal,so_termo_baixa_precisao,ludoteca,amusement_park;video_arcade;restaurant;point_of_interest;food;establishment,3.1,42,https://vivaparkbrasil.com/,2026-09-01
ChIJWfLFPACNf5ERl7JPOFwf5iI,WE LOVE GASTROBAR,"Av. Getúlio Vargas, 2598 - Bosque, Rio Branco - AC, 69900-589, Brazil",Rio Branco,so_termo_baixa_precisao,quiz bar,point_of_interest;establishment,5,6,,2026-09-16
ChIJcaXZtIBPAQcRIq7oaEIAdHc,Wanderson,"galeria sagrado coração de jesus - R. Santa Luzia, sala 02 - Tabuleiro do Martins, Maceió - AL, 57060-150, Brazil",Maceió,sem_termo_chave,board game;jogos de tabuleiro;loja de RPG;loja de board game;loja de card game;loja de jogos de tabuleiro,store;point_of_interest;establishment,4.9,146,https://www.instagram.com/wandersongames1/?hl=pt-br,2026-09-01
ChIJw5y9WcI5jgcRJebh_jZ5X0g,We All,"Av. Lindolfo Monteiro, 1380 - Horto, Teresina - PI, 64052-445, Brazil",Teresina,so_termo_baixa_precisao,quiz bar,restaurant;bar;point_of_interest;food;establishment,4.4,392,https://linktr.ee/weallteresina,2026-09-01
ChIJU_vAI0b_sgcREiMCfMLWJ2g,Whiskritório Pub,"R. Énico Monteiro, 1851 - Capim Macio, Natal - RN, 59082-170, Brazil",Natal,sem_termo_chave,ludobar;quiz bar,bar;live_music_venue;event_venue;point_of_interest;establishment,4.4,2888,http://www.whiskritorio.net/,2026-09-01
ChIJKQ77hZnohpQRX5uXtEyxA9k,Wine’s Territory,"R. Euclides da Cunha, 485 - Centro, Campo Grande - MS, 79020-230, Brazil",Campo Grande,so_termo_baixa_precisao,quiz bar,restaurant;wine_bar;cocktail_bar;liquor_store;bar;italian_restaurant;event_venue;food;point_of_interest;store;establishment,4.6,1727,https://link.meulink.bio/TerritorioRistorante,2026-09-01
ChIJm7QjrqizGgcR7JEGoWG0RuA,Winterfell (O Castelo do Norte),"Rua Dr. Thales Ferraz, 420 - Industrial, Aracaju - SE, 49065-800, Brazil",Aracaju,sem_termo_chave,board game;clube de jogos de tabuleiro;jogos de tabuleiro;loja de jogos de tabuleiro,point_of_interest;association_or_organization;establishment,5,1,,2026-09-01
ChIJUevxmFaxnZMRt6UhE8iQrvo,Wow Park,"Av. Jose Monteiro de Figueiredo, 500 - Loja 226 Piso 2 - Duque de Caxias, Cuiabá - MT, 78043-300, Brazil",Cuiabá,so_termo_baixa_precisao,ludoteca,amusement_park;banquet_hall;indoor_playground;playground;event_venue;point_of_interest;establishment,5,515,https://www.wowpark.com.br/,2026-09-01
