place_id,nome,endereco,capital_busca,motivo_descarte,termos_busca,categorias_google,avaliacao_media,volume_avaliacoes,site_ou_rede_social,data_coleta
ChIJuVCw0ikxjgcR7qe1DnLfDUA,L2DMO,"Q. C, 36 - São Sebastião, Teresina - PI, 64085-360, Brazil",Teresina,sem_termo_chave,clube de jogos de tabuleiro;jogos de tabuleiro;loja de jogos de tabuleiro,association_or_organization;point_of_interest;establishment,,0,,2026-09-01
ChIJN_24eQsbqwcRWk9e9dTgoBw,LH Diversões,"Engenho Pioca 31 UR 7 - Várzea, Recife - PE, 50960-010, Brazil",Recife,so_termo_baixa_precisao,ludoteca,amusement_center;point_of_interest;establishment,4.2,6,,2026-09-01
ChIJFRSO-88FbJIRJnTITUle7Fc,LOCANDO MEMÓRIAS EVENTOS,"Av. Tefé, 84 - Cachoeirinha, Manaus - AM, 69065-020, Brazil",Manaus,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,5,1,,2026-09-01
ChIJHVafOR45jgcR1Oc3v4rKSTM,LOCAR KIDS,"Av. Mar. Castelo Branco, 911 - Porenquanto Shopping Rio poty, Piso L2, EC015 - LOCARKIDS Ao lado da loja IAP - Porenquanto, Teresina - PI, 64003-087, Brazil",Teresina,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,5,1,,2026-09-01
ChIJtc4YN_sXuAARte3zvMSx6_A,LOS FEIM,"R. Pio XII - Jesus de Nazareth, Vitória - ES, 29052-025, Brazil",Vitória,sem_termo_chave,board game;clube de jogos de tabuleiro;jogos de tabuleiro;loja de jogos de tabuleiro;luderia,association_or_organization;point_of_interest;establishment,,0,,2026-09-01
ChIJTREzOpy1vJURTHsozRQq00s,La Board Game House,"Aguirre 938, C1414 Cdad. Autónoma de Buenos Aires, Argentina",Boa Vista,fora_do_brasil,board game café,coffee_shop;food_store;cafe;association_or_organization;store;food;point_of_interest;establishment,4.6,592,http://laboardgamehouse.com/,2026-09-01
ChIJWwwVphAYuAARpbFNtMj5MqA,La Dolina - Restaurante Argentino Vitória,"Av. Rosendo Serapião de Souza Filho, 696 - Republica, Vitória - ES, 29070-170, Brazil",Vitória,so_termo_baixa_precisao,quiz bar,argentinian_restaurant;south_american_restaurant;barbecue_restaurant;cocktail_bar;hamburger_restaurant;bar;american_restaurant;restaurant;food;point_of_interest;establishment,4.7,4239,https://www.ladolina.com.br/Home,2026-09-01
ChIJ-17ZQDG9pgARc-AxpXmaNRU,La Tabuleria,"Av. Aggeo Pio Sobrinho, 414 - Buritis, Belo Horizonte - MG, 30575-834, Brazil",Belo Horizonte,sem_termo_chave,bar de jogos de tabuleiro;board game;board game bar;café de jogos de tabuleiro;clube de jogos de tabuleiro;jogos de tabuleiro;loja de jogos de tabuleiro;luderia;ludoteca;quiz bar,cocktail_bar;bar;point_of_interest;establishment,4.7,138,https://latabuleria.acervodejogos.com.br/,2026-09-01
ChIJ5SH6_rOZpgARgv-J4IeBREE,Lab,"Av. do Contorno, 6342 - Savassi, Belo Horizonte - MG, 30110-017, Brazil",Belo Horizonte,so_termo_baixa_precisao,quiz bar,live_music_venue;event_venue;night_club;point_of_interest;establishment,3.8,713,https://instagram.com/lab.bh,2026-09-01
ChIJF4zaPgB_mQAR60Ft_vBzjy8,Ladainha Bar,"R. Sacadura Cabral, 57 - Saúde, Rio de Janeiro - RJ, 20081-261, Brazil",Rio de Janeiro,sem_termo_chave,bar de jogos de tabuleiro,cocktail_bar;bar;point_of_interest;establishment,4.9,45,https://www.instagram.com/ladainha_bar?igsh=MTZ2ampxaTk0andjMw==,2026-09-01
