place_id,nome,endereco,capital_busca,lat,lng,qt_praias_parques_500m,qt_praias_parques_1000m,qt_shoppings_grandes_500m,qt_shoppings_grandes_1000m,qt_estacoes_metro_500m,qt_estacoes_metro_1000m
ChIJ7UwihgtwmQARd_GtVTEV5Zw,Bar Do K.B. Ludo,"R. Lêda - Jardim Leal, Duque de Caxias - RJ, 25035-550, Brazil",Rio de Janeiro,-22.760841600000003,-43.3131744,1,6,0,0,0,0
ChIJGTvSWgCDmQARyu8hVg-kaSw,Bubble Planet - Lanchonete e Cardgames,"Av. Roberto Silveira, 349 - loja 103 - Icaraí, Niterói - RJ, 24230-152, Brazil",Rio de Janeiro,-22.9051969,-43.1043065,2,7,0,0,0,0
ChIJk4ZqIH1_mQARrByPymrpe7E,Donna Gastrobar,"R. Dezenove de Fevereiro, 165 - Botafogo, Rio de Janeiro - RJ, 22280-030, Brazil",Rio de Janeiro,-22.9542377,-43.1853164,2,13,0,3,1,1
ChIJ_cv0FwB_mQARkbW8bdLx99w,Vinoteca do Visconde Restaurante,"R. Visc. de Caravelas, 121 - Botafogo, Rio de Janeiro - RJ, 22271-041, Brazil",Rio de Janeiro,-22.957212,-43.195881,4,13,1,1,0,0
ChIJ-UmVDcEXFgcRnbCBRUGrDVs,São Jogue - Paralela,"Av. Luís Viana Filho, 8544 - Alphaville, Salvador - BA, 41730-101, Brazil",Salvador,-12.937384199999999,-38.3952332,0,2,1,1,1,1
ChIJnbTgfgeS9gcRP8n5nhD7iWs,Ludorama,"R. dos Bicudos, 8 - Jardim Renascença, São Luís - MA, 65075-090, Brazil",São Luís,-2.5002728999999997,-44.289547899999995,3,3,2,4,0,0
ChIJyzOdkZBnzpQRgrkQrV8p52s,Arcade 80 - Game Lounge,"R. Fontoura Xavier, 1314 - Itaquera, São Paulo - SP, 08295-300, Brazil",São Paulo,-23.5438166,-46.4519875,2,7,0,0,0,0
ChIJYTHwWgBbzpQRFenbJdM5cxU,Arena BG | Jogos de Tabuleiro | Hamburgueria,"R. Lino Coutinho, 1791 - Ipiranga, São Paulo - SP, 04207-002, Brazil",São Paulo,-23.599306799999997,-46.6016884,3,8,0,0,1,1
ChIJrT_EWwBZzpQRGAZzptZbtsY,Cartola Luderia Bar,"R. Dr. Siqueira Campos, 42 - Liberdade, São Paulo - SP, 01153-000, Brazil",São Paulo,-23.563561,-46.638520799999995,1,17,0,1,1,5
ChIJ7_DDAlH1zpQRJVJ0UHnItH8,Covil Game Bar,"Rua do Saboó, 12 - Jardim Barbosa, Guarulhos - SP, 07111-030, Brazil",São Paulo,-23.4650359,-46.523386,3,15,0,0,0,0
ChIJ_aN4OAxXzpQR0UH63sAeVCA,Fan Hour Games and Burgers,"R. Artur de Azevedo, 898 - Pinheiros, São Paulo - SP, 05404-002, Brazil",São Paulo,-23.5617043,-46.6804729,7,13,0,0,0,2
ChIJa3UsDhRczpQRPPSuDl6acO8,"Flow Games - Burgers, Cards & Comunidade","Rua Dona Genoveva D'Ascoli, 17 - Vila Prudente, São Paulo - SP, 03132-070, Brazil",São Paulo,-23.581556,-46.5848501,9,39,0,1,1,2
ChIJU4gvvaJXzpQR1SPX6E4t1jQ,Good Game E-Sports Bar,"R. Mourato Coelho, 992 - Pinheiros, São Paulo - SP, 05417-001, Brazil",São Paulo,-23.559138299999997,-46.6905697,6,33,0,0,0,1
ChIJO8W2hThfzpQRjeWplqhAyKQ,Lendário Game Bar,"No mesmo prédio da Lendário Card Games - Av. Celso Garcia, 4367 - Tatuapé, São Paulo - SP, 03063-000, Brazil",São Paulo,-23.5352961,-46.5702627,4,18,0,2,0,2
ChIJkWsGmd1czpQRGLydxc29vbw,Place Games,"R. Martim Francisco, 554 - Santa Paula, São Caetano do Sul - SP, 09541-330, Brazil",São Paulo,-23.621405199999998,-46.5615561,2,8,0,0,0,0
ChIJsU5BAwBRzpQRAgLVvqg68os,Tubaleria - Clube de Jogos de Tabuleiro e Hamburgueria,"R. Paul Valery, 76 - Chácara Santo Antônio (Zona Sul), São Paulo - SP, 04719-050, Brazil",São Paulo,-23.6320583,-46.709815,6,16,1,2,0,0
ChIJO23CtJA5jgcRB1ZMVm4R8Ak,Espaco Caramelles,"R. João Emílio Falcão, 338 - Fátima, Teresina - PI, 64049-480, Brazil",Teresina,-5.0665388,-42.800213899999996,3,10,0,0,0,0
ChIJqUA_IaE5jgcRjnu2CBE7yTM,Xeque Mate: Restaurante e Jogos de Tabuleiro,"Av. Sen. Area Leão, 4041 - Morada do Sol, Teresina - PI, 64049-110, Brazil",Teresina,-5.0739015,-42.765659,5,10,0,0,0,0
ChIJ7XGi3xIXuAARiTdzjnTSM8Q,A Rainha dos Dados,"R. Antônio Ataíde, 323 - Centro de Vila Velha, Vila Velha - ES, 29100-295, Brazil",Vitória,-20.332426599999998,-40.291142099999995,8,10,0,1,0,0
