id_jogo,nm_jogo,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,mecanicas,n_categorias,categorias,temas,link,tx_retencao,idx_desejo,tx_fidelizacao,diversidade_mecanica,amplitude_publico,nota_media,nota_rank,qt_avaliacoes
41866,Slay the Spire: O Jogo de Tabuleiro,2024,2024.0,1,4.0,150,12,1067,101,186,1760,1204,6,"Construção de Baralho, Bolsas e Peças;Cooperativo;Gerenciamento de Mãos;Rolagem de Dados;Solo / Solitário;Ordem do Turno: Progressivo",2,Jogo de Cartas;Dungeon Crawler,Aventura;Fantasia;Tema de Video Game,https://ludopedia.com.br/jogo/slay-the-spire-the-board-game,0.913527397260274,1.6494845360824741,0.17432052483598875,6,3.0,9.13,8.85,504
13494,Brass: Birmingham,2018,2019.0,2,4.0,120,14,2734,386,585,3515,3652,7,Construção de Redes e Rotas;Gerenciamento de Mãos;Empréstimos;Mercado;Ordem de Turno: Baseado em Estatísticas;Rendimentos;Árvores / Trilhas de Tecnologia,0,,Economia / Produção;Transportes,https://ludopedia.com.br/jogo/brass-birmingham,0.8762820512820513,1.2856620336503293,0.21397220190197513,7,2.0,9.12,9.03,1641
13196,Brass: Lancashire,2017,2019.0,2,4.0,180,13,1099,290,246,1160,1642,7,Construção de Redes e Rotas;Gerenciamento de Mãos;Empréstimos;Rendimentos;Mercado;Ordem de Turno: Baseado em Estatísticas;Árvores / Trilhas de Tecnologia,0,,Economia / Produção;Transportes,https://ludopedia.com.br/jogo/brass-lancashire,0.7912167026637869,1.0555050045495906,0.22383985441310283,7,2.0,9.12,8.93,745
27167,ISS Vanguard,2022,2024.0,1,4.0,120,13,498,43,48,662,301,4,Cooperativo;Narração de Histórias;Rolagem de Dados;Cenário / Missão / Campanha,1,Miniaturas,Aventura;Ficção Científica,https://ludopedia.com.br/jogo/iss-vanguard,0.9205175600739371,1.3293172690763053,0.0963855421686747,4,3.0,9.12,8.23,125
71120,Unmatched: The Witcher - A Queda dos Reinos,2024,2026.0,2,3.0,40,9,161,5,5,151,87,3,Gerenciamento de Mãos;Jogadores com Diferentes Habilidades;Movimento de Área,2,Colecionável;Expansão ou Suplemento,Fantasia;Medieval,https://ludopedia.com.br/jogo/unmatched-the-witcher-realms-fall,0.9698795180722891,0.937888198757764,0.031055900621118012,3,1.0,9.11,7.21,32
33119,Hegemonia: Conduza Sua Classe À Vitória - Edição Ampliada,2023,2026.0,2,4.0,180,14,762,121,162,1744,1344,7,Gerenciamento de Mãos;Jogadores com Diferentes Habilidades;Votação;Ação / Evento;Alocação de Diferentes Tipos de Trabalhadores;Simulação;Papéis com Informações Assimétricas,1,Jogo Assimétrico,Economia / Produção;Política;Educacional,https://ludopedia.com.br/jogo/hegemony-lead-your-class-to-victory-extended-edition,0.8629671574178935,2.288713910761155,0.2125984251968504,7,2.0,9.11,8.8,459
37857,Dune: Guerra por Arrakis,2024,2024.0,1,4.0,120,14,544,49,47,619,307,8,Influência / Maioria na Área;Rolagem de Dados;Jogadores com Diferentes Habilidades;Movimento de Área;Resolução por Símbolos nos Dados;Simulação;Eventos;Jogo em Equipe,2,Jogo de Cartas;Miniaturas,Cultura Pop ou Geek;Literatura;Ficção Científica;Guerra,https://ludopedia.com.br/jogo/dune-war-for-arrakis,0.9173693086003373,1.1378676470588236,0.08639705882352941,8,3.0,9.11,8.19,119
23628,Trickerion: Lendas Da Ilusão – Big Box,2019,2024.0,1,4.0,180,14,501,86,66,530,742,9,Seleção de Ação Simultânea;Alocação de Trabalhadores;Colocação de Peças;Pontos de Ação;Alocação de Diferentes Tipos de Trabalhadores;Fila de Ações;Ordem de Turno: Baseado em Estatísticas;Pegue o Líder;Rolagem de Dados,0,,Fantasia,https://ludopedia.com.br/jogo/trickerion-collector-s-edition,0.8534923339011925,1.0578842315369261,0.1317365269461078,9,3.0,9.11,8.55,231
13749,Projeto Gaia,2017,2018.0,1,4.0,150,14,2313,417,555,2951,3047,11,Construção de Redes e Rotas;Jogadores com Diferentes Habilidades;Tabuleiro Modular;Árvores / Trilhas de Tecnologia;Bônus de Fim de Jogo;Grade Hexagonal;Solo / Solitário;Ordem do Turno: Ordem de Passe;Preparação Variável;Pontos de Vitória como Recurso;Rendimentos,2,Miniaturas;Jogo Assimétrico,Ficção Científica;Economia / Produção;Civilização,https://ludopedia.com.br/jogo/gaia-project,0.8472527472527472,1.275832252485949,0.23994811932555124,11,3.0,9.1,9.0,1572
48200,Unmatched Aventuras: Contos Fantásticos,2023,2026.0,1,4.0,60,9,330,12,24,278,260,8,Campanha / Batalhas Dirigidas por Cartas;Cartas Multiuso;Cooperativo;Gerenciamento de Mãos;Jogadores com Diferentes Habilidades;Linha de Visão;Pontos de Ação;Solo / Solitário,0,,Fantasia,https://ludopedia.com.br/jogo/unmatched-adventures-tales-to-amaze,0.9649122807017544,0.8424242424242424,0.07272727272727272,8,3.0,9.09,7.99,91
25048,Gloomhaven: Presas do Leão,2020,2022.0,1,4.0,120,14,2161,392,267,1477,1361,18,"Cooperativo;Gerenciamento de Mãos;Campanha / Batalhas Dirigidas por Cartas;Movimento em Grades;Seleção de Ação Simultânea;Jogadores com Diferentes Habilidades;Fila de Ações;Recuperação de Ação;Comunicação Limitada;Acertos e Falhas Críticas;Grade Hexagonal;Habilidades 1 vez por Partida;Linha de Visão;Solo / Solitário;Cenário / Missão / Campanha;Construção de Baralho, Bolsas e Peças;Legado;RPG",3,Expansão ou Suplemento;Miniaturas;Dungeon Crawler,Aventura;Fantasia;Medieval;Luta / Artes Marciais,https://ludopedia.com.br/jogo/gloomhaven-jaws-of-the-lion,0.8464551508029768,0.6834798704303563,0.12355391022674687,18,3.0,9.09,8.91,776
77025,DC Super Heroes United: Hush,2025,2026.0,1,4.0,30,14,101,2,5,63,49,4,Cooperativo;Gerenciamento de Mãos;Movimento Ponto-a-Ponto;Tabuleiro Modular,3,Expansão ou Suplemento;Jogo de Entrada;Miniaturas,Cultura Pop ou Geek;Quadrinhos,https://ludopedia.com.br/jogo/dc-super-heroes-united-hush,0.9805825242718447,0.6237623762376238,0.04950495049504951,4,3.0,9.09,6.97,23
8624,Gloomhaven,2017,2020.0,1,4.0,120,12,2438,402,615,3018,1853,27,"Seleção de Ação Simultânea;Gerenciamento de Mãos;Cooperativo;Jogadores com Diferentes Habilidades;Movimento em Grades;Tabuleiro Modular;RPG;Fila de Ações;Recuperação de Ação;Resolução de Conflitos por Cartas;Comunicação Limitada;Acertos e Falhas Críticas;Cenário / Missão / Campanha;Construção de Baralho, Bolsas e Peças;Linha de Visão;Habilidades 1 vez por Partida;Solo / Solitário;Narração de Histórias;Grade Hexagonal;Campanha / Batalhas Dirigidas por Cartas;Legado;Ação / Evento;Bônus de Fim de Jogo;Escolha Narrativa;Jogo em Equipe;Mapa: Modificação;Marcadores de Ordens",2,Miniaturas;Dungeon Crawler,Aventura;Fantasia;Luta / Artes Marciais;Medieval,https://ludopedia.com.br/jogo/gloomhaven,0.8584507042253521,1.2378999179655454,0.25225594749794916,27,3.0,9.09,8.98,1336
38684,Imperium: Horizontes,2024,2025.0,1,4.0,120,14,194,5,20,263,95,7,"Construção de Baralho, Bolsas e Peças;Gerenciamento de Mãos;Bônus de Fim de Jogo;Mercado;Jogadores com Diferentes Habilidades;Solo / Solitário;Mover-se pelo Baralho",1,Jogo de Cartas,Civilização,https://ludopedia.com.br/jogo/imperium-horizons,0.9748743718592965,1.3556701030927836,0.10309278350515463,7,3.0,9.09,7.37,40
17559,Mage Knight: Edição Definitiva,2018,2019.0,1,5.0,150,14,1472,255,337,1874,1071,11,"Colocação de Peças;Construção de Baralho, Bolsas e Peças;Cooperativo;Gerenciamento de Mãos;Jogadores com Diferentes Habilidades;Movimento em Grades;Rolagem de Dados;RPG;Tabuleiro Modular;Compra Aberta;Solo / Solitário",1,Miniaturas,Aventura;Luta / Artes Marciais;Fantasia,https://ludopedia.com.br/jogo/mage-knight-ultimate-edition,0.8523451071221771,1.2730978260869565,0.22894021739130435,11,4.0,9.09,8.88,692
76427,Nippon: Zaibatsu,2026,2026.0,1,4.0,120,14,221,2,15,360,326,8,Alocação de Diferentes Tipos de Trabalhadores;Alocação de Trabalhadores;Bônus de Fim de Jogo;Compra Aberta;Contratos;Influência / Maioria na Área;Preparação Variável;Rendimentos,0,,Economia / Produção;Cultura Oriental,https://ludopedia.com.br/jogo/nippon-zaibatsu,0.9910313901345291,1.6289592760180995,0.06787330316742081,8,3.0,9.08,7.87,77
37012,Clank!: Catacombs,2022,2025.0,2,4.0,90,14,1823,89,229,1626,2300,12,"Colocação de Peças;Construção de Baralho, Bolsas e Peças;Eliminação de Jogadores;Force sua sorte;Movimento Ponto-a-Ponto;Bônus de Fim de Jogo;Compra Futura;Pontos de Movimento;Preparação Variável;Compra Aberta;Mapa: Adição;Tabuleiro Modular",2,Jogo de Cartas;Dungeon Crawler,Fantasia;Medieval,https://ludopedia.com.br/jogo/clank-catacombs,0.9534518828451883,0.8919363686231486,0.1256171146461876,12,2.0,9.07,8.85,650
