place_id,nome_estabelecimento,avaliacao_media_estabelecimento,volume_avaliacoes_estabelecimento,review_index,nota_avaliacao,idioma,data_relativa,texto_avaliacao,mencao_preco,mencao_friccao,grupo_nota_estabelecimento,grupo_nota_individual,grupo_volume_avaliacoes,num_caracteres_texto,texto_avaliacao_filtrado
ChIJ7UwihgtwmQARd_GtVTEV5Zw,Bar Do K.B. Ludo,5.0,17,4,5,pt,6 years ago,Ambiente familiar e cerveja gelada.😘👍,False,False,maior,promotor,menor,37,Ambiente familiar cerveja 😘
ChIJ7XGi3xIXuAARiTdzjnTSM8Q,A Rainha dos Dados,5.0,28,1,5,pt,2 months ago,"Gostei demais. Várias opções de jogos que eu nem imaginava que existiam, além de umas empanadas muito boas.",False,False,maior,promotor,menor,107,opções jogos empanadas boas
ChIJ7XGi3xIXuAARiTdzjnTSM8Q,A Rainha dos Dados,5.0,28,2,5,pt,2 months ago,"Um ótimo lugar pra jogar com os amigos. A loja tem centenas de opções de jogos de tabuleiros, além de comidinhas e bebidas gostosas. Os donos sao uma simpatia, ensinam e ate jogam junto. Uma ambiente delicioso.",False,False,maior,promotor,menor,210,ótimo lugar amigos loja centenas opções jogos tabuleiros comidinhas bebidas gostosas donos simpatia ambiente delicioso
ChIJ7XGi3xIXuAARiTdzjnTSM8Q,A Rainha dos Dados,5.0,28,3,5,pt,2 months ago,Excelente lugar para ir com os amigos! Miguel nos indicou jogos muito legais!,False,False,maior,promotor,menor,77,Excelente lugar amigos Miguel jogos legais
ChIJ7XGi3xIXuAARiTdzjnTSM8Q,A Rainha dos Dados,5.0,28,4,5,pt,2 months ago,"Um ambiente acolhedor, que dispõe de um cardápio muito diversificado de jogos e proporciona tempo de qualidade entre amigos e família! Nós adoramos!",False,False,maior,promotor,menor,148,ambiente acolhedor cardápio jogos tempo de qualidade amigos família
ChIJCdEZv21PpJQRg6vLc_9tIcc,Mestre dos Jogos LudoBar,4.7,133,2,4,pt,7 months ago,"Fui com a minha família e amamos! O lugar é legal, tem uma vibe bem jogatina, porém quando a casa está cheia, fica difícil se comunicar um pouco com o pessoal por que faz muito barulho. Os atendentes que foram na nossa mesa fizeram um trabalho incrível, só lembro o nome de um, Jerônimo. Explicaram os jogos com paciência e até jogaram a primeira partida pra ajudar a pegar o ritmo, incríveis! A batata que pedimos o balde de 1kg estava muito boa também, e o preço é ótimo pra quantidade. A única coisa que eu achei que deixou a desejar foi o atendimento da dona, achei ela um pouco sem paciência, ríspida e pouquíssimo carismática. Pretendo voltar pois o acervo de jogos é muito bom e o espaço também!",True,False,menor,neutro,maior,702,família lugar legal vibe jogatina casa cheia difícil pouco pessoal barulho atendentes mesa trabalho incrível lembro nome Jerônimo jogos paciência primeira partida ritmo incríveis batata balde kg boa preço ótimo quantidade única coisa atendimento dona paciência pouquíssimo carismática acervo jogos bom espaço
ChIJCdEZv21PpJQRg6vLc_9tIcc,Mestre dos Jogos LudoBar,4.7,133,3,5,pt,10 months ago,"Muito bom o ambiente, comidas e os jogos. A variedade é gigante e os monitores foram ótimos em nos ajudar a escolher e explicar como jogar, em especial a Yasmin e o Jerônimo que foram uns queridos nos atendendo a todo momento. Com toda certeza iremos voltar ✨",False,False,menor,promotor,maior,259,bom ambiente jogos variedade gigante monitores especial Yasmin Jerônimo momento certeza ✨
ChIJCdEZv21PpJQRg6vLc_9tIcc,Mestre dos Jogos LudoBar,4.7,133,4,5,pt,11 months ago,"O Ludobar é simplesmente incrível! Os atendentes são super atenciosos, principalmente o Paulo, conhecem muito sobre os jogos e sempre dão ótimas dicas, explicando as regras e ajudando na hora de jogar — o que faz toda a diferença na experiência. A comida e as bebidas têm preço justo e são realmente gostosas. O ambiente é aconchegante, divertido e perfeito tanto para reunir a galera quanto para um programa a dois. Super recomendo para quem quer passar um tempo agradável e se divertir!",False,False,menor,promotor,maior,488,Ludobar incrível atendentes super atenciosos Paulo jogos ótimas dicas regras hora diferença experiência comida bebidas preço justo gostosas ambiente divertido perfeito galera programa Super tempo agradável
ChIJD_AkIuqP9gcRS0iQfgupyPo,Ludo bar,4.3,199,3,1,pt,a year ago,"Meu Deus! Parece a Cracolândia! Se possível passe longe, as músicas estavam super deprimentes para um bar lgbt+ a vontade era de me afogar no rio! Não tem variedade de bebida, cheguei lá querendo um gim ou uísque e só tinha cerveja... Tem muito que melhorar ainda! Não sei como a pandemia não falou neste lugar... O DJ tava péssimos hj! 16/11/24",False,False,menor,detrator,maior,345,Meu Deus Cracolândia possível passe músicas super deprimentes bar lgbt+ vontade rio variedade gim uísque cerveja pandemia lugar DJ 16/11/24
ChIJD_AkIuqP9gcRS0iQfgupyPo,Ludo bar,4.3,199,4,5,pt,4 years ago,Top o lugar cerveja uma delícia bem gelada e um ótimo atendimento,False,False,menor,promotor,maior,65,Top lugar delícia ótimo atendimento
