,n_jogos_com_mecanica,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes
Compra Fechada,6,-0.01669063040228572,-0.03030631049515218,-0.03221698238813999,0.016639971398247005,0.0144347813966814,-0.05208828067644661,0.10251707162056341,0.10525150935793064,0.17687762986313427,0.11984744162442616,0.11767294144114367,0.1681955718770699,-0.12280803816364484,0.047290771905626035,0.12359554791490898
Compra Futura,8,-0.18160558160174603,0.016347715728531206,0.10422114573160694,-0.003480735303307954,0.07402182800356827,0.12600154542073025,0.039796610221272566,0.050942103555546125,0.06277823552236989,0.11853624075874114,0.08001472774967747,0.20945756279713712,0.02821580384597645,0.0290279862465007,0.051784732965072536
Comprometer Forças,2,-0.04292988360675408,-0.059113719706474735,-0.07420758157344749,0.09931272944127792,0.008250583581760252,0.062053338700116284,0.09642774928344228,0.0936053424577411,0.1625848929763317,0.16987081076422794,0.14004265574415012,0.14826417614229276,0.12856384703743426,0.057335362941302245,0.12245972744491745
Comunicação Limitada,6,0.008345315201142865,0.011474205841118721,0.016589341677475174,0.06901073409350501,-0.023521962431379807,0.006331172236916156,0.059849669522308066,0.037906408355976674,0.0560697273347621,0.08837780767818451,-0.009936012017416528,0.29447184466088194,0.11793261175586059,0.08451766743979613,0.01462744270839262
Conexões,8,0.10169912569697778,0.02543973296933076,0.019253705637164338,0.019312466844160117,-0.04051561210280325,-0.02655300957176427,-0.07866901753214411,-0.08531891106676512,-0.07118227417738929,-0.08242430810793315,-0.05311377057541705,0.14839209497031122,0.02821580384597648,0.03393773562830335,-0.06631888212773857
Construção a partir de Modelo,11,6.938893903907228e-18,-0.04026347359458807,0.07752095474380777,-0.006561959705386429,-0.2111530698164691,-0.28267536075306576,0.2479610036547487,0.0877414586347229,0.14258836561081684,0.10000180648273427,0.25737671181429567,-0.13231688692276622,0.15841216862407465,-0.12192868211067524,0.22133262591300823
"Construção de Baralho, Bolsas e Peças",38,-0.06884482706829011,-0.012287270831275638,-0.10271884504435418,-0.10204370196512726,0.10891039844119664,0.1653713840425175,-0.032367630395520874,0.008545128902689058,-0.004265502528306108,0.033021516403082984,-0.04682939255053964,0.17720585904037894,0.08427302746186568,0.1288991587778145,-0.04094574868596468
Construção de Redes e Rotas,16,-0.08392486878062783,-0.1405191448096274,0.1198343135149621,0.04434841829773153,0.0941746604843379,0.0075517198641234864,-0.021709585164962693,0.01553068245090223,0.015218648069304034,0.03991268217643111,0.014429043751913038,0.08642812560631108,-0.14419081483864388,0.11069758264579457,0.008431141930696079
Contratos,29,-0.11309304333043409,-0.12060556784925239,-0.06749058150290765,0.0072419574629343595,0.05458701658923398,0.010097981469839713,0.06503406753860405,0.16960397253868403,0.13798728631376656,0.11387336776924725,0.13768032877532227,0.12126244855672473,-0.2182358033775622,-0.12869565959174603,0.14358642376239183
Cooperativo,40,0.0035532657108843582,0.013298155440536166,-0.3061832402521906,-0.030811345705783637,-0.013974537754716462,0.17135976534396302,-0.03984186521038637,0.00919300051659409,-0.01171349905603087,0.037373256443885824,-0.1513833136736426,0.19266839900688862,0.13734322316126596,0.1502468959800573,-0.09075612562313601
Corrida,5,-0.00911872010684978,-0.07134614902735759,0.14842930369543192,0.058069919257137864,0.19839608525651478,0.011084387756530313,0.030215284144871873,0.0656404572197427,0.09042456595343328,0.09245770491637359,0.03898405861731668,0.151875044724439,0.1317416554190861,0.05251140817177328,0.044604269505967534
Crescimento Automático de Recursos,11,-0.08740425221670682,-0.024635394933591168,-0.14155218418416882,-0.006561959705386457,0.07469575980346763,0.06695509306489221,0.023449228085738898,0.10554278655618263,0.019497252772470712,0.05332525709084148,0.03408560123352327,0.1038524686926049,-0.061708785039620864,-0.06369774855261875,0.035498221117255965
Criação de Baralho,5,0.0729497608547981,0.05419833543134173,-0.06488856285446315,-0.11360280320692491,-0.033860542904551434,0.027042761618768944,-0.04455523529353524,-0.05177062200376046,-0.03307202210589176,-0.04624281516007023,-0.08428684637506152,0.08288556021137335,0.16096958552845714,0.14742419969964043,-0.06585472948138188
Dedução,4,-0.010169391075834422,0.04326324278182023,0.013476902840512645,0.3006976538518789,-0.1177821975202642,-0.08977462865432938,0.11313760768303077,-0.029082558380168683,0.0021187061815835847,0.041711548534848125,0.10532759442863034,-0.0628310386660835,-0.012845560907369425,-0.11371073658035252,0.055154201709024867
