id_jogo,nm_jogo,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes,cluster
61700,Wyrmspan,2024,2024.0,1,5.0,90,14,1554,97,171,1450,2167,7,1,8.93,625,0
66494,Feljong,2024,2024.0,4,4.0,90,10,188,16,5,60,84,4,2,8.93,35,0
21032,Sleeping Gods,2021,2023.0,1,4.0,120,13,736,122,74,1439,467,6,1,8.93,205,0
41546,Andromeda's Edge,2024,2025.0,2,4.0,200,14,441,34,51,484,595,5,2,8.92,180,0
20829,O Senhor dos Anéis: Jornadas na Terra Média,2019,2019.0,1,5.0,60,14,3277,524,607,2506,2355,10,3,8.92,1407,1
187,The Castles of Burgundy,2011,2017.0,2,4.0,90,12,3369,828,658,2780,4786,11,1,8.91,2325,1
17363,Eclipse: O Segundo Despertar da Galáxia,2020,2022.0,2,6.0,200,14,706,88,129,952,1181,17,2,8.91,403,0
10959,Spirit Island,2017,2019.0,1,4.0,120,12,2147,441,382,2251,2218,12,0,8.91,1119,1
36830,Tiranos da Umbreterna (Segunda Edição),2021,2024.0,2,4.0,90,14,1178,61,118,622,1440,2,1,8.9,458,0
11478,Lisboa,2017,2017.0,1,4.0,120,12,1452,350,279,1756,1801,5,0,8.9,881,1
29022,Ticket to Ride: Europa - 15 Anos,2021,2021.0,2,5.0,60,8,823,78,105,573,873,8,1,8.9,380,0
71312,Athos Bulcão | Master Pieces,2026,2026.0,1,6.0,60,10,102,4,3,95,206,5,2,8.9,54,0
25957,The Thing: The Boardgame,2022,2022.0,1,8.0,90,14,545,124,121,1361,1131,9,1,8.89,349,0
13588,Clãs da Caledônia,2017,2017.0,1,4.0,120,12,1659,485,360,2210,2772,8,0,8.89,1339,1
46714,Inventores do Sul do Tigre,2024,2025.0,1,4.0,120,12,142,7,5,157,114,7,1,8.88,45,0
34903,O Legado de Yu,2023,2023.0,1,1.0,60,12,332,91,27,359,233,4,0,8.88,143,0
32088,Arkham Horror: The Card Game (Revised Edition),2021,2021.0,1,4.0,120,14,1956,248,265,1193,1292,16,3,8.88,668,0
82928,Gatos e Masmorras,2026,2026.0,2,6.0,20,8,111,0,7,92,72,14,4,8.87,23,0
15950,Root,2018,2019.0,2,4.0,90,13,3953,680,853,4083,4769,11,2,8.87,2171,1
8285,7 Wonders Duel,2015,2017.0,2,2.0,30,10,8754,948,1142,2591,7110,16,1,8.87,4383,1
31173,Great Western Trail: Argentina,2022,2023.0,1,4.0,150,12,1178,138,83,413,1095,7,0,8.86,422,0
30978,O Inconsciente,2024,2024.0,1,4.0,120,12,635,58,82,1152,1040,12,1,8.86,290,0
37434,Wingspan: Ásia,2022,2023.0,1,2.0,70,14,1515,110,56,652,1290,3,2,8.86,385,0
16788,Everdell,2018,2021.0,1,4.0,80,13,4310,503,677,3622,5059,10,0,8.77,2138,1
35743,Engis,2023,2023.0,1,4.0,75,10,132,17,7,89,122,4,1,8.77,60,0
8627,Through The Ages: Uma Nova História da Civilização,2015,2017.0,2,4.0,180,14,1415,387,273,1405,1749,7,0,8.77,951,1
31237,Keep the Heroes Out!,2022,2022.0,1,4.0,50,10,1168,119,172,1497,1435,9,2,8.77,478,0
54747,Inferno,2024,2024.0,1,4.0,120,14,434,49,37,603,766,11,0,8.76,212,0
11112,Mansions of Madness (2ª Edição),2016,2017.0,1,5.0,180,14,3986,793,845,3275,3886,13,4,8.76,2227,1
80859,Memoir '44 (Edição Revisada),2025,2025.0,2,8.0,60,8,141,9,13,189,78,15,1,8.76,53,0
67183,DCeased: Gotham City Outbreak,2024,2026.0,1,4.0,60,14,149,7,13,107,64,9,2,8.76,27,0
27957,Descent: Lendas da Escuridão,2021,2021.0,1,4.0,180,14,909,152,123,1081,601,13,3,8.76,315,0
7231,Pandemic Legacy: 1ª Temporada,2015,2015.0,2,4.0,60,13,1394,301,206,1601,1271,9,0,8.76,765,1
8201,Arcadia Quest: Inferno,2017,2018.0,2,4.0,60,13,752,152,111,736,436,9,2,8.76,294,0
6764,Scythe,2016,2017.0,1,5.0,90,14,3688,613,868,3677,5384,16,3,8.75,2448,1
5058,Five Tribes,2014,2018.0,2,4.0,80,13,2736,564,528,2479,4340,13,0,8.75,2029,1
66640,Star Wars: The Deckbuilding Game – Clone Wars Edition,2024,2026.0,2,2.0,30,12,169,0,8,235,78,3,3,8.75,34,0
66495,Geeks Vs Trolls,2026,2026.0,1,6.0,15,10,239,10,15,156,191,4,1,8.75,170,0
38119,Horizontes de Spirit Island ,2022,2026.0,1,3.0,120,13,194,12,6,102,90,9,1,8.75,26,0
80863,Galhos,2026,2026.0,1,4.0,30,14,101,3,4,98,143,6,3,8.74,47,0
25051,Unmatched: Becos e Brumas,2020,2023.0,2,4.0,40,9,586,96,56,485,640,3,3,8.74,205,0
33831,Monstros & Tesouros,2022,2022.0,1,4.0,120,14,420,50,42,275,173,4,2,8.74,126,0
1860,Caverna: The Cave Farmers,2013,2022.0,1,7.0,210,14,2238,376,361,2185,2788,6,0,8.74,1323,1
9712,Catan: Plus,2019,2020.0,3,6.0,75,10,470,61,62,467,407,5,0,8.74,164,0
24553,Hansa Teutonica: Big Box,2020,2021.0,3,5.0,90,12,1127,196,99,607,1555,7,0,8.73,528,0
47270,Marvel United: Spider-Geddon,2023,2024.0,1,5.0,40,14,757,33,36,260,362,5,3,8.73,141,0
24241,Foundations of Rome,2022,2024.0,2,4.0,90,13,137,14,28,547,378,7,1,8.73,82,0
2194,Concordia,2013,2017.0,2,5.0,100,12,1016,264,193,1714,2195,13,0,8.73,869,1
68254,Dorfromantik: Sakura,2024,2026.0,1,6.0,90,10,199,6,10,193,120,6,0,8.72,40,0
23070,High Frontier 4 All,2020,2022.0,1,5.0,240,14,265,34,37,361,195,10,1,8.72,87,0
58195,Yokohama: Segunda Edição,2024,2024.0,2,4.0,90,14,339,26,19,365,417,9,0,8.72,130,0
9538,Anachrony,2017,2022.0,1,4.0,120,14,1301,223,196,1269,1838,6,1,8.72,749,0
25979,7 Wonders: Segunda Edição,2020,2021.0,3,7.0,30,10,2442,183,273,1259,2585,4,2,8.71,1092,1
83772,Nevasca,2026,2026.0,2,5.0,30,14,287,6,40,199,208,3,1,8.71,115,0
23420,Marco Polo II: Ao Serviço do Khan,2019,2020.0,2,4.0,120,12,586,140,91,587,952,7,0,8.71,414,0
78021,Feya's Swamp,2025,2026.0,2,4.0,100,12,380,9,14,445,434,8,0,8.71,88,0
78102,Aristofarsa,2025,2025.0,2,6.0,30,14,138,5,9,80,136,7,3,8.71,51,0
8581,Food Chain Magnate,2015,2025.0,2,5.0,240,14,975,159,185,1658,1645,8,0,8.71,591,0
39754,Inventions: Evolution of Ideas,2024,2024.0,1,4.0,150,14,123,14,13,278,222,3,1,8.71,53,0
11178,Clank!: Uma Aventura de Construção de Baralho,2016,2023.0,2,4.0,60,12,2979,570,506,2476,4818,12,2,8.71,1938,1
52715,Planta Nubo,2023,2024.0,1,4.0,120,12,129,6,2,175,121,5,0,8.7,36,0
54714,Doggerland,2023,2024.0,1,4.0,120,14,420,46,24,362,517,4,0,8.7,174,0
9611,Tiranos da Umbreterna,2016,2018.0,2,4.0,60,14,1270,198,208,1128,2196,7,1,8.69,804,1
13280,Luna Maris,2022,2022.0,1,4.0,120,12,635,94,43,475,748,5,0,8.69,300,0
36126,Azul: Mestre Chocolatier,2022,2023.0,2,4.0,45,8,983,57,81,541,1215,5,2,8.69,426,0
14457,Carcassonne Plus,2017,2019.0,2,6.0,35,7,805,112,120,645,729,2,0,8.69,350,0
51774,Esdras e Neemias,2024,2025.0,1,4.0,120,13,380,35,21,469,419,7,1,8.68,125,0
