var1,var2,pearson_r,pearson_p,spearman_r,spearman_p
qt_jogou,n_mecanicas,0.21677265519024125,0.0018932594995749992,0.2750045274465519,7.161647545138382e-05
ano_publicacao,vl_tempo_jogo,-0.20325195261676915,0.003632455434101108,-0.1997109860856804,0.004280599310152199
vl_tempo_jogo,qt_quer,0.19496759961213406,0.005311517013820648,0.29705051181602476,1.6794735468850767e-05
vl_tempo_jogo,n_categorias,-0.1911413075972046,0.006299697039529646,-0.28608279905095224,3.5081473345358235e-05
idade_minima,nota_media,0.18658418056054357,0.0076885939641460925,0.18831158466024628,0.007132937835888334
qt_jogadores_min,vl_tempo_jogo,-0.1793700808974108,0.010447640461013756,-0.35461172646996486,2.0925312041205756e-07
qt_jogadores_min,qt_jogadores_max,0.16022903220275725,0.022395685135047035,0.1348647912474495,0.05505581428826468
qt_jogadores_max,nota_media,-0.15538021945530853,0.026855042991687495,-0.1683947247597618,0.016322861811188357
qt_teve,nota_media,-0.15307261819298631,0.02923173741856066,-0.20915945455354518,0.002745731512597043
idade_minima,qt_quer,0.150701809216768,0.03185834496139149,0.13194073236114523,0.060590851013367225
ano_nacional,vl_tempo_jogo,-0.14397194610000574,0.040432174690261946,-0.13886930511876786,0.04816050046314268
n_mecanicas,nota_media,0.1438820994740102,0.04055863551478331,0.15212754631017747,0.03025573229610612
ano_publicacao,qt_jogadores_min,-0.14229562017267727,0.04284703270689286,-0.1521712798279193,0.030207680336198892
ano_publicacao,n_categorias,0.132577942289077,0.0593471893188541,0.1380252400226167,0.04955065214470678
qt_jogou,nota_media,-0.13223485340512187,0.06001416783139756,-0.16028235257117862,0.0223504351583315
ano_nacional,qt_jogadores_min,-0.12918790791936852,0.06621232958642201,-0.11083130611837427,0.11543995110717899
vl_tempo_jogo,qt_teve,0.11681937694991179,0.0969487081673083,0.24685325541921813,0.00038449366455653054
nota_media,qt_avaliacoes,-0.1089812809302485,0.12167782439301274,-0.15200832481646787,0.030387057440202477
qt_tem,n_categorias,0.10157499609442647,0.1492977487990282,0.003973510586071548,0.9551311516285323
qt_tem,nota_media,-0.10003151796285231,0.1556097656882329,-0.11107731492231207,0.11462961226557455
idade_minima,qt_tem,-0.09820638294074022,0.16333058056012684,0.03479644072904058,0.6221109548661922
qt_jogadores_min,nota_media,-0.09270690341288548,0.18832566217617921,-0.08792019885836977,0.2122686337340207
idade_minima,qt_teve,0.08101415641998563,0.250541140459528,0.05064968565895645,0.4729722264072447
qt_jogadores_max,idade_minima,-0.07991188113875736,0.2570665890559328,-0.02142778130620256,0.7615481128238706
vl_tempo_jogo,qt_favorito,0.0796888732114349,0.2584009031893609,0.25309166141902867,0.0002692388245814844
vl_tempo_jogo,qt_tem,-0.07221091664162851,0.305915033756245,0.12984764035453994,0.06482767720963697
qt_jogadores_min,n_mecanicas,-0.07051397441169502,0.3174506263497822,-0.058303905172944225,0.4086474080392472
qt_jogadores_max,qt_teve,-0.06700352466507034,0.34220065611729816,-0.02569226568608012,0.7159640126376309
qt_favorito,n_categorias,0.06602714222718199,0.3492965897385568,-0.008935245426200123,0.8993171274756661
qt_jogadores_min,qt_avaliacoes,0.06193251110393293,0.38005416706234557,0.04443974781617011,0.5289758510499568
qt_jogadores_min,qt_jogou,0.06041513924988469,0.39185937882452876,0.03652453946851206,0.6049092444842131
n_mecanicas,n_categorias,0.06036977678349659,0.3922156662104322,-0.009355941802509019,0.8946035401203181
idade_minima,n_categorias,-0.05964668068294887,0.39792132242480244,-0.003934953629888418,0.9555660872629373
ano_nacional,n_categorias,0.05855786562714212,0.40660577612589593,0.04126810869104563,0.5588178541383683
qt_jogadores_min,qt_tem,0.056159236920794,0.426128961732706,0.01575996324734205,0.8234015073026371
idade_minima,qt_jogou,-0.05494872942126981,0.43618422333390516,0.039686474447303444,0.5739967541737361
n_categorias,nota_media,0.05330800822145375,0.45002740493616,0.08632131219095478,0.2207328506429041
idade_minima,qt_avaliacoes,-0.05020544147032273,0.4768679947026385,0.03525695435446553,0.617506359991556
ano_publicacao,idade_minima,-0.04825814123724184,0.4941486386800148,0.0006184515948257713,0.9930128811652789
qt_jogadores_max,vl_tempo_jogo,-0.04125929588321701,0.5589018914645972,-0.13123316259293658,0.061996871888816106
ano_nacional,idade_minima,-0.04038232804477078,0.5672948164339338,0.002570603271188115,0.9709639318629921
qt_jogadores_min,qt_quer,-0.037659014078939165,0.5937329738211982,-0.04164699742860924,0.5552106131380838
qt_jogadores_max,qt_tem,-0.03727552912123383,0.5975003759843067,0.010785995100088333,0.8786094357057785
ano_nacional,qt_jogadores_max,-0.03506756724200539,0.6193982164055296,-0.07203229449614941,0.30711612697594826
idade_minima,qt_favorito,0.033099300185566664,0.6392063299367341,0.10476963949055916,0.1368519790325264
qt_jogadores_max,qt_avaliacoes,-0.03170271218407163,0.6534188622232666,0.050292832871755275,0.4761002468343901
qt_jogadores_max,n_mecanicas,-0.0299440962006096,0.6714941461048444,-0.026188015672210067,0.7107259231160088
qt_quer,n_categorias,0.026518242480350798,0.7072442412301033,-0.061082861377916166,0.38663751163770016
vl_tempo_jogo,qt_jogou,-0.026024553959703503,0.712451574309016,0.17558299189778748,0.012220184896293309
n_categorias,qt_avaliacoes,0.02503922195326043,0.7228843330138326,-0.06787535849607211,0.3359424457570396
ano_publicacao,qt_jogadores_max,-0.02417556803802809,0.7320710703360528,-0.027196048073164322,0.7001170058226815
qt_quer,nota_media,0.02362313775364104,0.7379674496603251,0.013094645811460958,0.8528950455557177
qt_jogadores_min,qt_favorito,0.02096315933586123,0.7665678335816304,0.03569225854714448,0.6131675004168243
qt_teve,n_categorias,-0.019587976177741884,0.7814814867279996,-0.07509580558900081,0.28694481803747285
qt_jogadores_max,qt_favorito,-0.01883527399268807,0.7896787179743436,0.05860608725958663,0.4062187977193597
qt_favorito,nota_media,0.017157716845689255,0.8080300738608991,0.02991744660797907,0.6717695432038058
qt_jogadores_max,n_categorias,0.016795676472939107,0.8120047207114659,0.02384401430388703,0.7356080593958844
qt_jogadores_max,qt_quer,-0.009459186441522167,0.8934473191499122,0.0016333559916117324,0.9815481316028333
qt_jogou,n_categorias,0.006896927296082114,0.9222019293273015,-0.10175169098253756,0.14858771330009227
vl_tempo_jogo,qt_avaliacoes,-0.0063704763648103,0.928123721909734,0.17884878567384624,0.010677311089618592
qt_jogadores_max,qt_jogou,-0.0038159000283142924,0.9569091348620475,0.03607102747157588,0.6094030591200709
qt_jogadores_min,qt_teve,0.0037578963989444783,0.9575635199396092,-0.0005620269192490517,0.9936503396851337
