,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes
Construção de Redes e Rotas,0.23386453843505708,0.04553708626750091,0.08857275275585721,0.5298237824993886,0.18139608508456745,0.9148424889218052,0.7585083674147032,0.8259295638976039,0.8293729386819357,0.5718140121659854,0.8381008133198988,0.22016002061660742,0.04012550087481365,0.11588230022319149,0.9049698607670161
Contratos,0.10815619812377139,0.08652582611007534,0.33869538920674064,0.9183231516007809,0.4392149774852484,0.8862986397175974,0.35660823078464393,0.015558331483904023,0.04961393761852497,0.10572872098314115,0.05012824712648221,0.08481250349616341,0.0017601745923265918,0.06726114184926113,0.0409771567926092
Cooperativo,0.9598723452658162,0.850635313830751,8.885033443152114e-06,0.6625560547299656,0.8431337379136316,0.014503970651633533,0.5724969237285058,0.8964287460431261,0.8682617907777148,0.5965392674614227,0.031083501110826875,0.005887147096762313,0.05069817262596758,0.032384660422532165,0.1978330066335367
Corrida,0.8972609879238171,0.31175869857082783,0.034561934240698186,0.41053381214047696,0.004546624254473255,0.8752781017192297,0.6686941822375109,0.35213230213827523,0.19948295437844604,0.1895211728449289,0.5807994084150373,0.030534443509830658,0.06098376186133606,0.45683662649615125,0.5274501122237311
Crescimento Automático de Recursos,0.21497414051038652,0.7271750240108648,0.043956113099952086,0.9259693436382692,0.28952726347314967,0.3425504646191768,0.739826869175859,0.13396285044919054,0.7824682448624299,0.4498805983261077,0.6292473669217074,0.1403408972469139,0.3817809972291661,0.3665969026697841,0.6150999035157558
Criação de Baralho,0.3009797643695502,0.4424850348268095,0.35768751124547354,0.10656550323510583,0.6315140444808596,0.7017265723379051,0.5279046118417772,0.4632199849377753,0.6394826949027853,0.5123771448719868,0.23184655048235642,0.2397271368479738,0.021774243997439564,0.03581835984959073,0.35055917743995996
Dedução,0.8855000627578546,0.5399510744337092,0.8486515403134346,1.3057594640120581e-05,0.09420813006032594,0.20274615632933757,0.10801639620517024,0.6804192681509225,0.9760666217916694,0.5545971767004917,0.13476224563501296,0.3731670010508944,0.8556624662060676,0.1062310723066179,0.43446793476914053
Eliminação de Jogadores,0.8458131094874742,0.4540665504661705,0.003999787810042103,0.4539001777916938,0.4528798308270257,0.6519432287832967,0.40776289551689654,0.40315080263644626,0.5946477854667781,0.4262893241959302,0.6071725629216704,0.1524466336802429,0.05563903467832799,0.08913561090287002,0.5239097954741174
Empréstimos,0.5183224861917566,0.24044638897068263,0.5540384723281189,0.694139435029052,0.39395963100125714,0.19723764631488716,0.6986215586479131,0.6113115212992376,0.4478861017244821,0.24665881803685616,0.3750377234013418,0.7601044672611178,0.30161739584816755,0.08731564976655987,0.526236076252576
Encadeamento,0.15503649217079862,0.40215830660260693,0.8931909695130174,0.6161804503849668,0.9069957187643053,0.8654424682920597,0.40809530925630666,0.039105316048724005,0.23571241655948677,0.23142456386737267,0.20308484570404126,0.6920117832876582,0.8981668493035243,0.8188790863737386,0.18059776931187788
Escalada,0.567371220229168,0.6290653215398007,0.35155446958372283,0.5866826946624121,0.16318832765550317,0.10166869367409544,0.008537377991516083,0.9260018569141899,0.6174204087505079,0.7299521202278642,0.01730553927843207,0.3559614281328199,0.4084340533334675,0.22004986875648863,0.14856345357853687
Escolha Narrativa,0.007918192061490218,0.03177645868154772,0.1762649968927186,0.5448421276832477,0.5569240495123325,0.23527717359024647,0.2824193423715009,0.0020614152010711324,0.04925883982597879,0.0021387970368368227,0.36477092795779337,2.1345603627247433e-09,0.9131186567546754,0.9555596022777908,0.14238647395491535
Especulação de Commodities,0.04547600202551802,0.6854516120073558,0.19607170684196223,0.5381850214009132,0.22947634111460194,0.7239163879433725,0.8723174116423288,0.20142039525814462,0.8103433115858696,0.5660491623012877,0.7128102435438454,0.29584142050182677,0.07862177652369273,0.2425216001314032,0.5954261720981873
Eventos,0.013144280702232253,0.11476549646868937,0.7357948639497601,0.20705769785602457,0.011523446698951554,0.05489922511801879,0.7603643278660557,0.035704658160322894,0.6363787409435107,0.31429399963351407,0.863599306172768,4.022435546946903e-06,0.6209026621902511,0.49217272707248966,0.6936357529657086
Ficha de Vantagem,0.04547600202551802,0.3034430608888213,0.7488278730359765,0.9244299633302169,0.6928641272155015,0.8201423963340774,0.8577948999835058,0.24936121509421635,0.7334101547511982,0.3432333815892333,0.5176367237229538,0.05890600427443973,0.07862177652369273,0.8745924805584866,0.5531461686271968
Fila de Ações,0.020407467194156304,0.044675679991532095,0.47878725197385885,0.3418832463334396,0.08465591577675238,0.16758255728540192,0.12950192452390047,0.0003080654536118461,0.026220190980537857,0.00457886267267495,0.26397323386423477,5.271503267398036e-06,0.8084150050196532,0.14417141775595788,0.09852197527861374
Fila de Recursos,0.3907106874804962,0.6290653215398007,0.45828657162141545,0.7237001746548092,0.7319925053296872,0.38390798863385156,0.6236443843403477,0.6076843922435016,0.6102306590010301,0.7250632762701497,0.748594889219054,0.44696291276170946,0.31357026202401206,0.7666360629514676,0.6560970632846852
Fim por Morte Súbita,0.665675288049044,0.4065715567084774,0.05964333127376406,0.24360118204810297,0.15875093104290552,0.44263633716751255,0.0002899951363217764,0.005743530686874089,0.0007885547743900994,0.011385009825887662,0.005506420323492982,0.09731530041027378,0.7797195526706601,0.678641342305593,0.0007514540523316001
Force sua sorte,0.8458131094874742,0.6136233020749425,0.25233071634901394,0.8675125020818452,0.9191418969004733,0.9118989307481079,0.8549648783809063,0.9748740986551659,0.9419735497090062,0.46164704905233184,0.8245857780013477,0.029579961643889725,0.05563903467832799,0.4623778892025354,0.9363873324990352
Fundir e Espalhar,0.3907106874804937,0.6290653215398007,0.45828657162141545,0.7237001746548092,0.7319925053296872,0.8960835805982912,0.7332571134786753,0.6403528865318925,0.7568596194754247,0.7716473945189978,0.889475134339858,0.3165929360927261,0.9280738541563953,0.9285632621867549,0.7350540991016693
Gerenciamento de Mãos,0.47003519188829623,0.3717935867575216,0.836129361933298,0.06805823502232115,0.9062864301099979,0.2665871120543541,0.9236396988653562,0.597031300828978,0.7076465379839119,0.5485476555963102,0.5137641282146506,0.32024739660195783,0.6396912595283807,0.17704310855802474,0.7320577511216803
Grade Hexagonal,0.6454258168321277,0.6417433851647694,0.374112855385244,0.23706568334336672,0.0003399103443807878,0.2256053743348797,0.2603248476996629,0.024660214205359503,0.0037854849803079967,0.014797253410282724,0.23110910173283866,1.08291645725828e-08,0.6841363649308425,0.01877863587620137,0.0898571154593397
Grade com Quadrados,0.9126608857520696,0.6257474906765564,0.22291783307686042,0.9337946602177601,0.345312535804831,0.9735989968073476,0.7362882613612565,0.9276375138409604,0.9082810567173463,0.8754185977461139,0.892770228981464,0.07648408846481802,0.24371546543534198,0.8152506842552436,0.9314141082492555
Habilidades 1 vez por Partida,0.711405909276021,0.8623851912858456,0.8146229794092255,0.3930370392976779,0.8772671537779696,0.9497805841336829,0.03815383747161269,0.15046577864006547,0.06678950780290985,0.06422029945918906,0.3110953695060709,5.103161907838081e-07,0.5501941923119059,0.28052443159860957,0.10622684697644279
