ano,recorte,capital,cbo,ocupacao,admissoes,salario_medio,salario_p25,salario_mediana,salario_p75,salario_medio_real,horas_mediana,amostra_pequena,meses_no_ano,ano_incompleto,salario_minimo_medio_ano,razao_medio_salario_minimo,var_anual_nominal_pct,var_anual_real_pct
2022,CNAE 56 - alimentação,Boa Vista,141515,Gerente de bar,6,1756.6,1338.54,1750.0,2107.14,2110.41,44.0,True,12,False,1212.0,1.449,-19.33,-24.85
2023,CNAE 56 - alimentação,Boa Vista,141515,Gerente de bar,4,1890.79,1315.5,1660.0,2235.29,2171.77,44.0,True,12,False,1314.0,1.439,7.64,2.91
2024,CNAE 56 - alimentação,Boa Vista,141515,Gerente de bar,5,1957.98,1478.4,1600.0,2299.5,2153.7,44.0,True,12,False,1412.0,1.387,3.55,-0.83
2025,CNAE 56 - alimentação,Boa Vista,141515,Gerente de bar,5,1951.82,1586.31,2000.0,2071.29,2035.19,44.0,True,12,False,1518.0,1.286,-0.31,-5.5
2021,CNAE 56 - alimentação,Boa Vista,371410,Recreador,2,1100.0,1100.0,1100.0,1100.0,1401.76,44.0,True,12,False,1100.0,1.0,,
2022,CNAE 56 - alimentação,Boa Vista,371410,Recreador,6,1212.0,1212.0,1212.0,1212.0,1440.28,44.0,True,12,False,1212.0,1.0,10.18,2.75
2023,CNAE 56 - alimentação,Boa Vista,371410,Recreador,9,1331.36,1302.0,1320.0,1320.0,1528.87,44.0,True,12,False,1314.0,1.013,9.85,6.15
2024,CNAE 56 - alimentação,Boa Vista,371410,Recreador,13,1464.8,1412.0,1478.4,1478.4,1613.57,44.0,True,12,False,1412.0,1.037,10.02,5.54
2025,CNAE 56 - alimentação,Boa Vista,371410,Recreador,12,1563.57,1518.23,1586.31,1586.31,1641.71,44.0,True,12,False,1518.0,1.03,6.74,1.74
2026,CNAE 56 - alimentação,Boa Vista,371410,Recreador,6,1632.1,1621.0,1621.0,1621.0,1646.4,44.0,True,7,True,1621.0,1.007,4.38,0.29
