tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Classes de rendimento total e variação patrimonial mensal familiar,Tipos de despesa,valor_original,valor
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,21,Maranhão,2018,Total,3.1 Almoço e jantar,69.19,69.19
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,22,Piauí,2018,Total,3.1 Almoço e jantar,146.29,146.29
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,23,Ceará,2018,Total,3.1 Almoço e jantar,104.59,104.59
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,24,Rio Grande do Norte,2018,Total,3.1 Almoço e jantar,181.42,181.42
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,25,Paraíba,2018,Total,3.1 Almoço e jantar,88.07,88.07
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,26,Pernambuco,2018,Total,3.1 Almoço e jantar,127.53,127.53
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,27,Alagoas,2018,Total,3.1 Almoço e jantar,47.94,47.94
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,28,Sergipe,2018,Total,3.1 Almoço e jantar,241.67,241.67
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,29,Bahia,2018,Total,3.1 Almoço e jantar,146.63,146.63
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,31,Minas Gerais,2018,Total,3.1 Almoço e jantar,158.44,158.44
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,32,Espírito Santo,2018,Total,3.1 Almoço e jantar,85.67,85.67
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,33,Rio de Janeiro,2018,Total,3.1 Almoço e jantar,138.42,138.42
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,35,São Paulo,2018,Total,3.1 Almoço e jantar,178.75,178.75
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,41,Paraná,2018,Total,3.1 Almoço e jantar,134.83,134.83
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,42,Santa Catarina,2018,Total,3.1 Almoço e jantar,123.77,123.77
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,43,Rio Grande do Sul,2018,Total,3.1 Almoço e jantar,185.89,185.89
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,50,Mato Grosso do Sul,2018,Total,3.1 Almoço e jantar,234.79,234.79
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,51,Mato Grosso,2018,Total,3.1 Almoço e jantar,151.12,151.12
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,52,Goiás,2018,Total,3.1 Almoço e jantar,145.54,145.54
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,53,Distrito Federal,2018,Total,3.1 Almoço e jantar,261.81,261.81
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Brasil,1,Brasil,2018,Total,"3.2 Café, leite, café/leite e chocolate",2.50,2.5
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,11,Rondônia,2018,Total,"3.2 Café, leite, café/leite e chocolate",1.25,1.25
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,12,Acre,2018,Total,"3.2 Café, leite, café/leite e chocolate",3.24,3.24
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,13,Amazonas,2018,Total,"3.2 Café, leite, café/leite e chocolate",0.83,0.83
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,14,Roraima,2018,Total,"3.2 Café, leite, café/leite e chocolate",0.16,0.16
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,15,Pará,2018,Total,"3.2 Café, leite, café/leite e chocolate",1.16,1.16
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,16,Amapá,2018,Total,"3.2 Café, leite, café/leite e chocolate",2.66,2.66
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,17,Tocantins,2018,Total,"3.2 Café, leite, café/leite e chocolate",0.28,0.28
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,21,Maranhão,2018,Total,"3.2 Café, leite, café/leite e chocolate",1.38,1.38
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,22,Piauí,2018,Total,"3.2 Café, leite, café/leite e chocolate",2.73,2.73
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,23,Ceará,2018,Total,"3.2 Café, leite, café/leite e chocolate",1.77,1.77
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,24,Rio Grande do Norte,2018,Total,"3.2 Café, leite, café/leite e chocolate",1.21,1.21
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,25,Paraíba,2018,Total,"3.2 Café, leite, café/leite e chocolate",0.86,0.86
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,26,Pernambuco,2018,Total,"3.2 Café, leite, café/leite e chocolate",1.22,1.22
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,27,Alagoas,2018,Total,"3.2 Café, leite, café/leite e chocolate",0.32,0.32
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,28,Sergipe,2018,Total,"3.2 Café, leite, café/leite e chocolate",1.68,1.68
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,29,Bahia,2018,Total,"3.2 Café, leite, café/leite e chocolate",1.50,1.5
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,31,Minas Gerais,2018,Total,"3.2 Café, leite, café/leite e chocolate",2.71,2.71
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,32,Espírito Santo,2018,Total,"3.2 Café, leite, café/leite e chocolate",0.98,0.98
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,33,Rio de Janeiro,2018,Total,"3.2 Café, leite, café/leite e chocolate",1.32,1.32
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,35,São Paulo,2018,Total,"3.2 Café, leite, café/leite e chocolate",4.52,4.52
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,41,Paraná,2018,Total,"3.2 Café, leite, café/leite e chocolate",1.73,1.73
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,42,Santa Catarina,2018,Total,"3.2 Café, leite, café/leite e chocolate",2.01,2.01
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,43,Rio Grande do Sul,2018,Total,"3.2 Café, leite, café/leite e chocolate",4.33,4.33
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,50,Mato Grosso do Sul,2018,Total,"3.2 Café, leite, café/leite e chocolate",3.60,3.6
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,51,Mato Grosso,2018,Total,"3.2 Café, leite, café/leite e chocolate",1.49,1.49
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,52,Goiás,2018,Total,"3.2 Café, leite, café/leite e chocolate",1.76,1.76
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,53,Distrito Federal,2018,Total,"3.2 Café, leite, café/leite e chocolate",2.65,2.65
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Brasil,1,Brasil,2018,Total,3.3 Sanduíches e salgados,18.28,18.28
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,11,Rondônia,2018,Total,3.3 Sanduíches e salgados,12.60,12.6
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,12,Acre,2018,Total,3.3 Sanduíches e salgados,15.97,15.97
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,13,Amazonas,2018,Total,3.3 Sanduíches e salgados,11.97,11.97
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,14,Roraima,2018,Total,3.3 Sanduíches e salgados,3.46,3.46
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,15,Pará,2018,Total,3.3 Sanduíches e salgados,10.58,10.58
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,16,Amapá,2018,Total,3.3 Sanduíches e salgados,19.24,19.24
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,17,Tocantins,2018,Total,3.3 Sanduíches e salgados,9.57,9.57
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,21,Maranhão,2018,Total,3.3 Sanduíches e salgados,9.16,9.16
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,22,Piauí,2018,Total,3.3 Sanduíches e salgados,13.07,13.07
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,23,Ceará,2018,Total,3.3 Sanduíches e salgados,12.21,12.21
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,24,Rio Grande do Norte,2018,Total,3.3 Sanduíches e salgados,22.46,22.46
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,25,Paraíba,2018,Total,3.3 Sanduíches e salgados,10.34,10.34
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,26,Pernambuco,2018,Total,3.3 Sanduíches e salgados,17.13,17.13
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,27,Alagoas,2018,Total,3.3 Sanduíches e salgados,6.54,6.54
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,28,Sergipe,2018,Total,3.3 Sanduíches e salgados,15.28,15.28
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,29,Bahia,2018,Total,3.3 Sanduíches e salgados,17.17,17.17
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,31,Minas Gerais,2018,Total,3.3 Sanduíches e salgados,17.02,17.02
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,32,Espírito Santo,2018,Total,3.3 Sanduíches e salgados,11.34,11.34
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,33,Rio de Janeiro,2018,Total,3.3 Sanduíches e salgados,16.33,16.33
