id_jogo,ano_publicacao,nota_media,nota_rank,qt_avaliacoes
1860,2013,8.74,8.64,1323
9712,2019,8.74,8.1,164
24553,2020,8.73,8.5,528
506,2007,8.73,8.22,219
47270,2023,8.73,8.01,141
25933,2022,8.73,7.07,32
14172,2017,8.73,6.78,20
6458,2014,8.73,6.91,25
24241,2022,8.73,7.69,82
2194,2013,8.73,8.58,869
10640,2015,8.72,6.8,21
68254,2024,8.72,7.21,40
23070,2020,8.72,7.73,87
58195,2024,8.72,7.97,130
17370,2026,8.72,6.72,18
9538,2017,8.72,8.55,749
20037,2018,8.71,7.27,44
25979,2020,8.71,8.59,1092
83772,2026,8.71,7.89,115
23420,2019,8.71,8.42,414
78021,2025,8.71,7.73,88
78102,2025,8.71,7.37,51
8581,2015,8.71,8.5,591
39754,2024,8.71,7.4,53
11178,2016,8.71,8.65,1938
50746,2023,8.7,6.82,22
52715,2023,8.7,7.13,36
54714,2023,8.7,8.1,174
9611,2016,8.69,8.53,804
13280,2022,8.69,8.3,300
36126,2022,8.69,8.4,426
14457,2017,8.69,8.35,350
36937,2022,8.69,6.82,22
1629,2004,8.68,7.78,99
51774,2024,8.68,7.91,125
41867,2023,8.68,8.51,715
21413,2021,8.68,7.79,101
21146,2019,8.68,7.46,60
32656,2019,8.68,8.46,545
79538,2023,8.68,7.43,57
7321,2015,8.68,8.28,283
134,2011,8.67,8.54,1023
62546,2024,8.67,7.52,66
81993,2026,8.67,6.89,25
9368,2016,8.67,8.24,256
37052,2022,8.67,7.84,112
39037,2022,8.67,8.49,687
514,2010,8.67,8.42,502
26163,2022,8.67,8.37,396
77966,2025,8.67,6.82,22
3335,2013,8.66,7.73,93
22705,2022,8.66,8.36,390
10672,2016,8.66,8.56,1222
5017,2014,8.66,7.48,63
8257,2015,8.66,7.08,34
79022,2025,8.66,7.81,106
46380,2023,8.66,8.55,1176
4176,2014,8.65,8.27,303
2219,2014,8.65,7.24,44
52324,2025,8.65,7.21,42
11226,2016,8.65,8.26,293
36707,2023,8.65,8.52,967
42403,2023,8.65,7.84,113
5854,2015,8.65,8.34,370
29982,2022,8.65,8.14,207
26754,2021,8.65,7.81,108
83723,2026,8.65,6.81,22
14981,2017,8.65,8.62,5079
70797,2025,8.65,7.52,67
530,2002,8.64,8.13,209
75133,2026,8.64,7.35,52
2218,2014,8.64,7.46,62
29058,2021,8.64,8.32,363
21960,2023,8.63,8.22,267
80496,2025,8.63,6.94,28
21122,2019,8.63,8.29,342
1628,2005,8.63,7.77,103
534,2006,8.63,7.03,32
14932,2017,8.63,7.81,110
1118,2012,8.63,7.03,32
16085,2018,8.63,8.5,915
133,2005,8.62,8.58,3595
77825,2023,8.62,7.45,62
62114,2024,8.62,8.18,246
66840,2024,8.62,8.01,165
59347,2025,8.62,7.38,56
26735,2021,8.62,7.97,153
8424,2015,8.62,8.47,794
29986,2021,8.61,8.4,579
366,2012,8.61,8.52,1536
7333,2015,8.61,8.53,1537
1893,2013,8.61,8.05,185
1598,2013,8.61,7.36,54
19013,2017,8.61,6.75,20
5495,2014,8.6,6.97,30
36576,2022,8.6,8.06,191
9109,2015,8.6,8.46,923
18167,2019,8.6,7.51,69
64128,2024,8.6,7.89,132
98,2012,8.6,8.52,1559
10425,2016,8.6,8.23,301
25929,2021,8.6,8.05,185
6550,2014,8.6,8.49,1204
25894,2021,8.59,8.48,1140
52890,2024,8.59,7.25,47
24787,2022,8.59,7.5,69
62689,2024,8.59,7.07,35
1089,1999,8.59,8.48,1178
23140,2019,8.59,8.45,889
73932,2023,8.59,7.66,90
19358,2018,8.59,8.34,472
33938,2023,8.58,7.92,145
78727,2025,8.58,7.8,115
24473,2020,8.58,7.69,94
59666,2024,8.58,7.1,37
422,2012,8.58,8.48,1257
10799,2016,8.58,8.1,221
60387,2024,8.58,6.71,19
28281,2020,8.57,7.28,50
15332,2018,8.57,6.81,23
27320,2020,8.57,7.89,137
2640,1992,8.57,6.88,26
1952,2013,8.57,8.4,695
76468,2025,8.57,7.95,158
