tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Atividades de serviços,valor_original,valor
10758,862,Gastos com pessoal - benefícios concedidos aos empregados,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",472583,472583.0
10758,468,PIS sobre folha de pagamento,Mil Reais,Brasil,1,Brasil,2024,1. Total,148032,148032.0
10758,468,PIS sobre folha de pagamento,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,4786,4786.0
10758,468,PIS sobre folha de pagamento,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",380,380.0
10758,636,Excedente operacional bruto,Mil Reais,Brasil,1,Brasil,2024,1. Total,1131172862,1131172862.0
10758,636,Excedente operacional bruto,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,65820209,65820209.0
10758,636,Excedente operacional bruto,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",13269949,13269949.0
10758,639,Receita bruta - prestação de serviços,Mil Reais,Brasil,1,Brasil,2024,1. Total,3745336701,3745336701.0
10758,639,Receita bruta - prestação de serviços,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,270865189,270865189.0
10758,639,Receita bruta - prestação de serviços,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",35733057,35733057.0
10758,640,Receita bruta - revenda de mercadorias,Mil Reais,Brasil,1,Brasil,2024,1. Total,93205088,93205088.0
10758,640,Receita bruta - revenda de mercadorias,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,4840753,4840753.0
10758,640,Receita bruta - revenda de mercadorias,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",852862,852862.0
10758,641,Receita bruta - outras atividades,Mil Reais,Brasil,1,Brasil,2024,1. Total,30223311,30223311.0
10758,641,Receita bruta - outras atividades,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,2443123,2443123.0
10758,641,Receita bruta - outras atividades,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",138473,138473.0
10758,642,Deduções,Mil Reais,Brasil,1,Brasil,2024,1. Total,398293662,398293662.0
10758,642,Deduções,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,20439512,20439512.0
10758,642,Deduções,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",3047935,3047935.0
10758,1567,Aluguel de imóveis,Mil Reais,Brasil,1,Brasil,2024,1. Total,10404113,10404113.0
10758,1567,Aluguel de imóveis,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,852935,852935.0
10758,1567,Aluguel de imóveis,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",100604,100604.0
10758,678,Subvenções e dotações orçamentárias recebidas de governos,Mil Reais,Brasil,1,Brasil,2024,1. Total,20112482,20112482.0
10758,678,Subvenções e dotações orçamentárias recebidas de governos,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,60015,60015.0
10758,678,Subvenções e dotações orçamentárias recebidas de governos,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",172795,172795.0
10758,679,"Receitas financeiras, variações monetárias ativas e resultado positivo em participações societárias",Mil Reais,Brasil,1,Brasil,2024,1. Total,296346049,296346049.0
10758,679,"Receitas financeiras, variações monetárias ativas e resultado positivo em participações societárias",Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,2373485,2373485.0
10758,679,"Receitas financeiras, variações monetárias ativas e resultado positivo em participações societárias",Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",1596597,1596597.0
10758,674,Outras receitas operacionais,Mil Reais,Brasil,1,Brasil,2024,1. Total,102341676,102341676.0
10758,674,Outras receitas operacionais,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,3298961,3298961.0
10758,674,Outras receitas operacionais,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",791059,791059.0
10758,646,Receitas não-operacionais,Mil Reais,Brasil,1,Brasil,2024,1. Total,95739555,95739555.0
10758,646,Receitas não-operacionais,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,915353,915353.0
10758,646,Receitas não-operacionais,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",686690,686690.0
10758,1568,Total de custos,Mil Reais,Brasil,1,Brasil,2024,1. Total,542203079,542203079.0
10758,1568,Total de custos,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,87810813,87810813.0
10758,1568,Total de custos,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",2637244,2637244.0
10758,1569,Outros custos,Mil Reais,Brasil,1,Brasil,2024,1. Total,31794674,31794674.0
10758,1569,Outros custos,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,6043788,6043788.0
10758,1569,Outros custos,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",134265,134265.0
10758,1537,Total de despesas operacionais,Mil Reais,Brasil,1,Brasil,2024,1. Total,1107854836,1107854836.0
10758,1537,Total de despesas operacionais,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,46310403,46310403.0
10758,1537,Total de despesas operacionais,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",11451528,11451528.0
10758,10194,Despesas com aluguel de imóveis,Mil Reais,Brasil,1,Brasil,2024,1. Total,95971536,95971536.0
10758,10194,Despesas com aluguel de imóveis,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,10250692,10250692.0
10758,10194,Despesas com aluguel de imóveis,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",2067207,2067207.0
10758,1570,Publicidade e propaganda,Mil Reais,Brasil,1,Brasil,2024,1. Total,47613991,47613991.0
10758,1570,Publicidade e propaganda,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,1949235,1949235.0
10758,1570,Publicidade e propaganda,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",637209,637209.0
10758,1571,Comissões pagas a terceiros,Mil Reais,Brasil,1,Brasil,2024,1. Total,37044966,37044966.0
10758,1571,Comissões pagas a terceiros,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,378993,378993.0
10758,1571,Comissões pagas a terceiros,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",273395,273395.0
10758,652,Serviços prestados por profissionais liberais ou autônomos,Mil Reais,Brasil,1,Brasil,2024,1. Total,51138464,51138464.0
10758,652,Serviços prestados por profissionais liberais ou autônomos,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,1152755,1152755.0
10758,652,Serviços prestados por profissionais liberais ou autônomos,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",482086,482086.0
10758,1572,Serviços técnicos-profissionais,Mil Reais,Brasil,1,Brasil,2024,1. Total,190589531,190589531.0
10758,1572,Serviços técnicos-profissionais,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,5551513,5551513.0
10758,1572,Serviços técnicos-profissionais,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",2482023,2482023.0
10758,1573,"Vigilância, segurança e transporte de valores",Mil Reais,Brasil,1,Brasil,2024,1. Total,9379808,9379808.0
10758,1573,"Vigilância, segurança e transporte de valores",Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,262920,262920.0
10758,1573,"Vigilância, segurança e transporte de valores",Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",80014,80014.0
10758,1574,Mão-de-obra contratada temporariamente junto à empresas locadoras de mão-de-obra,Mil Reais,Brasil,1,Brasil,2024,1. Total,9312551,9312551.0
10758,1574,Mão-de-obra contratada temporariamente junto à empresas locadoras de mão-de-obra,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,501087,501087.0
10758,1574,Mão-de-obra contratada temporariamente junto à empresas locadoras de mão-de-obra,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",103567,103567.0
10758,1575,Manutenção e reparação de bens,Mil Reais,Brasil,1,Brasil,2024,1. Total,58203962,58203962.0
10758,1575,Manutenção e reparação de bens,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,1358181,1358181.0
10758,1575,Manutenção e reparação de bens,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",534409,534409.0
10758,1576,Outros serviços prestados por empresas,Mil Reais,Brasil,1,Brasil,2024,1. Total,41568423,41568423.0
10758,1576,Outros serviços prestados por empresas,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,2229487,2229487.0
10758,1576,Outros serviços prestados por empresas,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",608440,608440.0
10758,655,"Impostos e taxas (IPTU, IPVA, IOF, alvarás, etc.)",Mil Reais,Brasil,1,Brasil,2024,1. Total,57093211,57093211.0
10758,655,"Impostos e taxas (IPTU, IPVA, IOF, alvarás, etc.)",Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,2958893,2958893.0
10758,655,"Impostos e taxas (IPTU, IPVA, IOF, alvarás, etc.)",Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",652929,652929.0
10758,1577,Viagens e representações,Mil Reais,Brasil,1,Brasil,2024,1. Total,16725592,16725592.0
10758,1577,Viagens e representações,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,364725,364725.0
10758,1577,Viagens e representações,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",185816,185816.0
10758,1578,Materiais de expediente e de escritório,Mil Reais,Brasil,1,Brasil,2024,1. Total,32006952,32006952.0
10758,1578,Materiais de expediente e de escritório,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,5678131,5678131.0
10758,1578,Materiais de expediente e de escritório,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",480358,480358.0
10758,2267,"Direitos autorais, franquias e royalties pelo uso de marcas e patentes",Mil Reais,Brasil,1,Brasil,2024,1. Total,38380935,38380935.0
10758,2267,"Direitos autorais, franquias e royalties pelo uso de marcas e patentes",Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,1936850,1936850.0
10758,2267,"Direitos autorais, franquias e royalties pelo uso de marcas e patentes",Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",70970,70970.0
10758,1462,Outras despesas operacionais,Mil Reais,Brasil,1,Brasil,2024,1. Total,289368887,289368887.0
10758,1462,Outras despesas operacionais,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,5137738,5137738.0
10758,1462,Outras despesas operacionais,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",1447492,1447492.0
10758,1580,"Total de despesas financeiras, arrendamento mercantil e de participações acionárias",Mil Reais,Brasil,1,Brasil,2024,1. Total,344608936,344608936.0
10758,1580,"Total de despesas financeiras, arrendamento mercantil e de participações acionárias",Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,4885276,4885276.0
10758,1580,"Total de despesas financeiras, arrendamento mercantil e de participações acionárias",Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",1959267,1959267.0
10758,1581,"Arrendamento mercantil (leasing) de máquinas, equipamentos e veículos",Mil Reais,Brasil,1,Brasil,2024,1. Total,21401084,21401084.0
10758,1581,"Arrendamento mercantil (leasing) de máquinas, equipamentos e veículos",Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,274414,274414.0
10758,1581,"Arrendamento mercantil (leasing) de máquinas, equipamentos e veículos",Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",228026,228026.0
10758,1277,Despesas financeiras,Mil Reais,Brasil,1,Brasil,2024,1. Total,212458964,212458964.0
10758,1277,Despesas financeiras,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,3249556,3249556.0
10758,1277,Despesas financeiras,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",1095553,1095553.0
10758,1276,Variações monetárias passivas,Mil Reais,Brasil,1,Brasil,2024,1. Total,84654001,84654001.0
10758,1276,Variações monetárias passivas,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,246799,246799.0
10758,1276,Variações monetárias passivas,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",481285,481285.0
10758,1464,Comissões pagas à administradoras de cartão de crédito,Mil Reais,Brasil,1,Brasil,2024,1. Total,12948714,12948714.0
10758,1464,Comissões pagas à administradoras de cartão de crédito,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,866160,866160.0
10758,1464,Comissões pagas à administradoras de cartão de crédito,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",111389,111389.0
10758,659,Resultado negativo em participações societárias,Mil Reais,Brasil,1,Brasil,2024,1. Total,13146178,13146178.0
10758,659,Resultado negativo em participações societárias,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,248346,248346.0
10758,659,Resultado negativo em participações societárias,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",43014,43014.0
10758,1465,"Total de depreciação, amortização, despesas não-operacionais e constituição de provisões",Mil Reais,Brasil,1,Brasil,2024,1. Total,409042065,409042065.0
10758,1465,"Total de depreciação, amortização, despesas não-operacionais e constituição de provisões",Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,6023076,6023076.0
10758,1465,"Total de depreciação, amortização, despesas não-operacionais e constituição de provisões",Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",2104593,2104593.0
10758,656,Depreciação e amortização,Mil Reais,Brasil,1,Brasil,2024,1. Total,177967304,177967304.0
10758,656,Depreciação e amortização,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,2740286,2740286.0
10758,656,Depreciação e amortização,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",1287530,1287530.0
10758,661,Despesas não-operacionais,Mil Reais,Brasil,1,Brasil,2024,1. Total,32229481,32229481.0
10758,661,Despesas não-operacionais,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,290823,290823.0
10758,661,Despesas não-operacionais,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",43372,43372.0
10758,1582,Provisão para imposto de renda e contribuição social,Mil Reais,Brasil,1,Brasil,2024,1. Total,123628859,123628859.0
