tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Serviços prestados às famílias,valor_original,valor
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2023,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,4639,4639.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2019,"2.3 Atividades culturais, recreativas e esportivas",4445,4445.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2020,"2.3 Atividades culturais, recreativas e esportivas",3804,3804.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2021,"2.3 Atividades culturais, recreativas e esportivas",669,669.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2022,"2.3 Atividades culturais, recreativas e esportivas",914,914.0
2618,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2023,"2.3 Atividades culturais, recreativas e esportivas",1587,1587.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2019,1. Total,6545048,6545048.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2020,1. Total,6669458,6669458.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2021,1. Total,6677702,6677702.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2022,1. Total,7859026,7859026.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2023,1. Total,7968516,7968516.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2019,1.2 Serviços de alimentação,3920739,3920739.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2020,1.2 Serviços de alimentação,3735784,3735784.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2021,1.2 Serviços de alimentação,3566559,3566559.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2022,1.2 Serviços de alimentação,3932949,3932949.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2023,1.2 Serviços de alimentação,4169480,4169480.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2019,"1.3 Atividades culturais, recreativas e esportivas",610817,610817.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2020,"1.3 Atividades culturais, recreativas e esportivas",610438,610438.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2021,"1.3 Atividades culturais, recreativas e esportivas",594112,594112.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2022,"1.3 Atividades culturais, recreativas e esportivas",784334,784334.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2023,"1.3 Atividades culturais, recreativas e esportivas",739433,739433.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2019,2.2 Serviços de alimentação,532110,532110.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2020,2.2 Serviços de alimentação,412352,412352.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2021,2.2 Serviços de alimentação,406976,406976.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2022,2.2 Serviços de alimentação,490230,490230.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2023,2.2 Serviços de alimentação,644590,644590.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2019,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,461157,461157.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2020,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,354009,354009.0
2618,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2021,2.2.1 Restaurantes e outros serviços de alimentação e bebidas,350709,350709.0
