tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Sexo,Condição em relação à força de trabalho e condição de ocupação,Grupo de idade,valor_original,valor
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2211001,Teresina (PI),2022,Total,Total,18 a 24 anos,97629,97629.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3304557,Rio de Janeiro (RJ),2022,Total,Total,18 a 24 anos,589542,589542.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2408102,Natal (RN),2022,Total,Total,18 a 24 anos,77438,77438.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,4314902,Porto Alegre (RS),2022,Total,Total,18 a 24 anos,124935,124935.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1100205,Porto Velho (RO),2022,Total,Total,18 a 24 anos,52920,52920.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1400100,Boa Vista (RR),2022,Total,Total,18 a 24 anos,54384,54384.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,4205407,Florianópolis (SC),2022,Total,Total,18 a 24 anos,53598,53598.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3550308,São Paulo (SP),2022,Total,Total,18 a 24 anos,1129866,1129866.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2800308,Aracaju (SE),2022,Total,Total,18 a 24 anos,64700,64700.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1721000,Palmas (TO),2022,Total,Total,18 a 24 anos,39308,39308.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Brasil,1,Brasil,2022,Total,Total,18 a 19 anos,5746919,5746919.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1200401,Rio Branco (AC),2022,Total,Total,18 a 19 anos,12492,12492.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2704302,Maceió (AL),2022,Total,Total,18 a 19 anos,28739,28739.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1600303,Macapá (AP),2022,Total,Total,18 a 19 anos,16008,16008.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1302603,Manaus (AM),2022,Total,Total,18 a 19 anos,69138,69138.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2927408,Salvador (BA),2022,Total,Total,18 a 19 anos,63841,63841.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2304400,Fortaleza (CE),2022,Total,Total,18 a 19 anos,70014,70014.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5300108,Brasília (DF),2022,Total,Total,18 a 19 anos,87112,87112.0
