place_id,nome_estabelecimento,avaliacao_media_estabelecimento,volume_avaliacoes_estabelecimento,review_index,nota_avaliacao,idioma,data_relativa,texto_avaliacao,mencao_preco,mencao_friccao,grupo_nota_estabelecimento,grupo_nota_individual,grupo_volume_avaliacoes
ChIJ73mEeqQdzpQRKti9DbyjiWM,House Rules Ludobar,5.0,91,2,5,pt,a month ago,"Um lugar excelente pra você vim com seus amigos, namorada e familiares. Além dos garçons serem otimos na profissão, também são muitos educados. Ambiente muito bom, aqui é o lugar que você deveria experimentar! .",False,False,maior,promotor,menor
ChIJ73mEeqQdzpQRKti9DbyjiWM,House Rules Ludobar,5.0,91,3,5,pt,a year ago,"Ambiente super aconchegante, lanches e porções maravilhosas.
E para completar tem vários jogos, para todos os gostos. Eles ensinam e indicam jogos, caso fiquem com dúvidas.
Voltaremos mais vezes",False,False,maior,promotor,menor
ChIJ73mEeqQdzpQRKti9DbyjiWM,House Rules Ludobar,5.0,91,4,5,pt,2 months ago,"Absolutamente perfeito, comida saborosa o atendimento é super caseiro e familiar e é o lugar perfeito para passar tempo com amigos e família. Variedade absurda de jogos, nacionais importados, antigos e novos, com certeza retornarei mais vezes.",False,False,maior,promotor,menor
ChIJ7UwihgtwmQARd_GtVTEV5Zw,Bar Do K.B. Ludo,5.0,17,1,5,pt,7 years ago,Kbludo é um ótimo barman um exemplo de ser humano conhecido em sua localidade como uma pessoa tranquilo simpático e trabalhador isso ele sempre foi Kbludo e um ótimo empreendedor e tenta levar uma experiência para seus clientes de forma q onde os clientes acabam virando amigos também do próprio Kbludo Luiz e um ótimo amigo e vale a pena você q gosta de bares frequentar esse local,False,False,maior,promotor,menor
ChIJ7UwihgtwmQARd_GtVTEV5Zw,Bar Do K.B. Ludo,5.0,17,2,5,pt,2 years ago,"Show de bola !!!!! Quem quer ter uma nostalgia de jogo de cartas e boas conversas,esse é o lugar !!!!!!",False,False,maior,promotor,menor
ChIJ7UwihgtwmQARd_GtVTEV5Zw,Bar Do K.B. Ludo,5.0,17,3,5,pt,6 years ago,Otima.Faz um Hamburger nota 1000.Com um atendimento exemplar.,False,False,maior,promotor,menor
ChIJ7UwihgtwmQARd_GtVTEV5Zw,Bar Do K.B. Ludo,5.0,17,4,5,pt,6 years ago,Ambiente familiar e cerveja gelada.😘👍,False,False,maior,promotor,menor
ChIJ7XGi3xIXuAARiTdzjnTSM8Q,A Rainha dos Dados,5.0,28,1,5,pt,2 months ago,"Gostei demais. Várias opções de jogos que eu nem imaginava que existiam, além de umas empanadas muito boas.",False,False,maior,promotor,menor
ChIJ7XGi3xIXuAARiTdzjnTSM8Q,A Rainha dos Dados,5.0,28,2,5,pt,2 months ago,"Um ótimo lugar pra jogar com os amigos. A loja tem centenas de opções de jogos de tabuleiros, além de comidinhas e bebidas gostosas. Os donos sao uma simpatia, ensinam e ate jogam junto. Uma ambiente delicioso.",False,False,maior,promotor,menor
ChIJ7XGi3xIXuAARiTdzjnTSM8Q,A Rainha dos Dados,5.0,28,3,5,pt,2 months ago,Excelente lugar para ir com os amigos! Miguel nos indicou jogos muito legais!,False,False,maior,promotor,menor
ChIJ7XGi3xIXuAARiTdzjnTSM8Q,A Rainha dos Dados,5.0,28,4,5,pt,2 months ago,"Um ambiente acolhedor, que dispõe de um cardápio muito diversificado de jogos e proporciona tempo de qualidade entre amigos e família! Nós adoramos!",False,False,maior,promotor,menor
ChIJCdEZv21PpJQRg6vLc_9tIcc,Mestre dos Jogos LudoBar,4.7,133,2,4,pt,7 months ago,"Fui com a minha família e amamos! O lugar é legal, tem uma vibe bem jogatina, porém quando a casa está cheia, fica difícil se comunicar um pouco com o pessoal por que faz muito barulho. Os atendentes que foram na nossa mesa fizeram um trabalho incrível, só lembro o nome de um, Jerônimo. Explicaram os jogos com paciência e até jogaram a primeira partida pra ajudar a pegar o ritmo, incríveis! A batata que pedimos o balde de 1kg estava muito boa também, e o preço é ótimo pra quantidade. A única coisa que eu achei que deixou a desejar foi o atendimento da dona, achei ela um pouco sem paciência, ríspida e pouquíssimo carismática. Pretendo voltar pois o acervo de jogos é muito bom e o espaço também!",True,False,menor,neutro,maior
ChIJCdEZv21PpJQRg6vLc_9tIcc,Mestre dos Jogos LudoBar,4.7,133,3,5,pt,10 months ago,"Muito bom o ambiente, comidas e os jogos. A variedade é gigante e os monitores foram ótimos em nos ajudar a escolher e explicar como jogar, em especial a Yasmin e o Jerônimo que foram uns queridos nos atendendo a todo momento. Com toda certeza iremos voltar ✨",False,False,menor,promotor,maior
ChIJCdEZv21PpJQRg6vLc_9tIcc,Mestre dos Jogos LudoBar,4.7,133,4,5,pt,11 months ago,"O Ludobar é simplesmente incrível! Os atendentes são super atenciosos, principalmente o Paulo, conhecem muito sobre os jogos e sempre dão ótimas dicas, explicando as regras e ajudando na hora de jogar — o que faz toda a diferença na experiência. A comida e as bebidas têm preço justo e são realmente gostosas. O ambiente é aconchegante, divertido e perfeito tanto para reunir a galera quanto para um programa a dois. Super recomendo para quem quer passar um tempo agradável e se divertir!",False,False,menor,promotor,maior
ChIJD_AkIuqP9gcRS0iQfgupyPo,Ludo bar,4.3,199,3,1,pt,a year ago,"Meu Deus! Parece a Cracolândia! Se possível passe longe, as músicas estavam super deprimentes para um bar lgbt+ a vontade era de me afogar no rio! Não tem variedade de bebida, cheguei lá querendo um gim ou uísque e só tinha cerveja... Tem muito que melhorar ainda! Não sei como a pandemia não falou neste lugar... O DJ tava péssimos hj! 16/11/24",False,False,menor,detrator,maior
ChIJD_AkIuqP9gcRS0iQfgupyPo,Ludo bar,4.3,199,4,5,pt,4 years ago,Top o lugar cerveja uma delícia bem gelada e um ótimo atendimento,False,False,menor,promotor,maior
