nm_jogo,nota_rank,nota_media,qt_avaliacoes,link,slug
Ra (25th Century Games Edition),7.35,9.0,41,https://ludopedia.com.br/jogo/ra-25th-century-games-edition,ra-25th-century-games-edition
Pessoa,7.35,8.05,96,https://ludopedia.com.br/jogo/pessoa,pessoa
Dwar7s: Outono,7.35,7.47,544,https://ludopedia.com.br/jogo/dwar7s-fall,dwar7s-fall
Carcassonne: Amazonas,7.35,7.92,119,https://ludopedia.com.br/jogo/carcassonne-amazonas,carcassonne-amazonas
Pokémon TCG,7.35,7.49,462,https://ludopedia.com.br/jogo/pokemon-trading-card-game,pokemon-trading-card-game
Next Station: London,7.35,7.75,168,https://ludopedia.com.br/jogo/next-station-london,next-station-london
Solver,7.35,8.64,52,https://ludopedia.com.br/jogo/solver,solver
Vudù,7.35,7.49,461,https://ludopedia.com.br/jogo/voodoo,voodoo
Cheez-Tricks,7.35,8.0,102,https://ludopedia.com.br/jogo/cheez-tricks,cheez-tricks
Quissama: O império dos capoeiras,7.35,7.61,256,https://ludopedia.com.br/jogo/quissama-o-imperio-dos-capoeiras,quissama-o-imperio-dos-capoeiras
Merlin: Big Box,7.34,8.84,45,https://ludopedia.com.br/jogo/merlin-big-box,merlin-big-box
Smash Up,7.34,7.44,673,https://ludopedia.com.br/jogo/smash-up,smash-up
Belfort,7.34,7.87,127,https://ludopedia.com.br/jogo/belfort,belfort
Whispering Woods,7.34,8.34,67,https://ludopedia.com.br/jogo/whispering-woods,whispering-woods
Jungo,7.34,7.68,195,https://ludopedia.com.br/jogo/jungo,jungo
Archipelago,7.34,7.78,152,https://ludopedia.com.br/jogo/archipelago,archipelago
Frostpunk: The Board Game,7.34,7.81,143,https://ludopedia.com.br/jogo/frostpunk-the-board-game,frostpunk-the-board-game
Abstratus Pop,7.34,8.39,64,https://ludopedia.com.br/jogo/abstratus-pop,abstratus-pop
XCOM: The Board Game,7.34,7.45,625,https://ludopedia.com.br/jogo/xcom-the-board-game,xcom-the-board-game
Blue Lagoon,7.34,7.65,212,https://ludopedia.com.br/jogo/blue-lagoon,blue-lagoon
Zurvivors,7.34,7.72,177,https://ludopedia.com.br/jogo/zurvivors,zurvivors
KeyForge: Colisão entre Mundos,7.34,7.96,108,https://ludopedia.com.br/jogo/keyforge-worlds-collide,keyforge-worlds-collide
Taco Chapéu Bolo Presente Pizza (Família Taco Gato),7.34,7.66,204,https://ludopedia.com.br/jogo/taco-hat-cake-gift-pizza,taco-hat-cake-gift-pizza
Oceanos,7.34,7.55,314,https://ludopedia.com.br/jogo/oceanos,oceanos
Pandemic: Zona Crítica - América do Norte,7.34,7.7,183,https://ludopedia.com.br/jogo/pandemic-hot-zone-north-america,pandemic-hot-zone-north-america
Dark Ages: Heritage of Charlemagne,7.34,8.89,43,https://ludopedia.com.br/jogo/dark-ages-heritage-of-charlemagne,dark-ages-heritage-of-charlemagne
Kelp: Tubarão vs Polvo,7.34,8.06,92,https://ludopedia.com.br/jogo/kelp-shark-vs-octopus,kelp-shark-vs-octopus
Êxodo,7.33,8.12,85,https://ludopedia.com.br/jogo/evacuation,evacuation
Gaivotas,7.33,8.04,95,https://ludopedia.com.br/jogo/gaivotas,gaivotas
Signorie,7.33,8.19,78,https://ludopedia.com.br/jogo/signorie,signorie
Cuba Libre,7.33,8.57,54,https://ludopedia.com.br/jogo/cuba-libre,cuba-libre
Imagine,7.33,7.42,785,https://ludopedia.com.br/jogo/imagine,imagine
Glass Road,7.33,7.89,120,https://ludopedia.com.br/jogo/glass-road,glass-road
World of Warcraft: The Boardgame,7.33,8.16,81,https://ludopedia.com.br/jogo/world-of-warcraft-the-boardgame,world-of-warcraft-the-boardgame
Let's Go! Pro Japão,7.33,8.0,100,https://ludopedia.com.br/jogo/let-s-go-to-japan,let-s-go-to-japan
Santiago de Cuba,7.33,7.78,150,https://ludopedia.com.br/jogo/santiago-de-cuba,santiago-de-cuba
Gloom,7.33,7.53,341,https://ludopedia.com.br/jogo/gloom,gloom
Nevoeiro em Carcassonne,7.33,8.15,81,https://ludopedia.com.br/jogo/mists-over-carcassonne,mists-over-carcassonne
Nhac Nhac,7.33,7.56,295,https://ludopedia.com.br/jogo/gobblet-gobblers,gobblet-gobblers
Flamecraft - Edição Deluxe,7.33,8.5,57,https://ludopedia.com.br/jogo/flamecraft-deluxe-edition,flamecraft-deluxe-edition
Galhos,7.33,8.74,47,https://ludopedia.com.br/jogo/galhos,galhos
Agricola: All Creatures Big and Small,7.33,7.85,127,https://ludopedia.com.br/jogo/agricola-all-creatures-big-and-small,agricola-all-creatures-big-and-small
Nem a Pato!,7.33,7.46,490,https://ludopedia.com.br/jogo/how-dare-you,how-dare-you
Odin,7.32,7.56,280,https://ludopedia.com.br/jogo/odin,odin
A Iniciativa,7.32,8.02,95,https://ludopedia.com.br/jogo/the-initiative,the-initiative
Kutná Hora: The City of Silver,7.32,8.39,62,https://ludopedia.com.br/jogo/kutna-hora-the-city-of-silver,kutna-hora-the-city-of-silver
Animal Upon Animal,7.32,7.49,399,https://ludopedia.com.br/jogo/animal-upon-animal,animal-upon-animal
Vitruvius,7.32,9.39,32,https://ludopedia.com.br/jogo/vitruvius,vitruvius
Brass Lancashire: Deluxe Edition,7.32,9.69,28,https://ludopedia.com.br/jogo/brass-lancashire-deluxe-edition,brass-lancashire-deluxe-edition
Small World of Warcraft,7.32,7.59,243,https://ludopedia.com.br/jogo/small-world-of-warcraft,small-world-of-warcraft
Oriflamme,7.32,7.68,187,https://ludopedia.com.br/jogo/oriflamme,oriflamme
Keyforge: Mutação em Massa,7.32,8.04,92,https://ludopedia.com.br/jogo/keyforge-mass-mutation,keyforge-mass-mutation
KeyForge: Era da Ascensão,7.32,7.62,223,https://ludopedia.com.br/jogo/keyforge-age-of-ascension,keyforge-age-of-ascension
History of the World,7.32,7.68,182,https://ludopedia.com.br/jogo/history-of-the-world,history-of-the-world
Munchkin,7.32,7.34,3351,https://ludopedia.com.br/jogo/munchkin,munchkin
Salton Sea,7.32,7.85,125,https://ludopedia.com.br/jogo/salton-sea,salton-sea
Saboteur (compilation editions),7.32,7.88,118,https://ludopedia.com.br/jogo/saboteur-compilation-editions,saboteur-compilation-editions
Colosseum,7.32,7.73,161,https://ludopedia.com.br/jogo/colosseum,colosseum
Dark Souls: The Board Game,7.32,7.78,142,https://ludopedia.com.br/jogo/dark-souls-the-board-game,dark-souls-the-board-game
Match 5,7.31,7.72,161,https://ludopedia.com.br/jogo/match-5,match-5
Bandido,7.31,7.34,2892,https://ludopedia.com.br/jogo/bandido,bandido
Dwar7s: Inverno,7.31,7.74,153,https://ludopedia.com.br/jogo/dwar7s-winter,dwar7s-winter
Jogos de Baralho,7.31,7.84,125,https://ludopedia.com.br/jogo/jogos-de-baralho,jogos-de-baralho
Ready Set Bet,7.31,7.9,112,https://ludopedia.com.br/jogo/ready-set-bet,ready-set-bet
Tá na Mesa,7.31,7.73,158,https://ludopedia.com.br/jogo/ta-na-mesa,ta-na-mesa
Royals,7.31,8.28,68,https://ludopedia.com.br/jogo/royals,royals
Condottiere,7.31,7.76,145,https://ludopedia.com.br/jogo/condottiere,condottiere
Star Wars: Palácio do Jabba - Um Jogo Love Letter,7.31,7.62,210,https://ludopedia.com.br/jogo/star-wars-jabba-s-palace-a-love-letter-game,star-wars-jabba-s-palace-a-love-letter-game
Kakehashi,7.31,9.65,28,https://ludopedia.com.br/jogo/kakehashi,kakehashi
Shikoku 1889,7.31,8.38,61,https://ludopedia.com.br/jogo/shikoku-1889,shikoku-1889
Dwar7s Spring,7.31,8.16,77,https://ludopedia.com.br/jogo/dwar7s-spring,dwar7s-spring
As Lendas de Andor: A Última Esperança,7.31,8.36,62,https://ludopedia.com.br/jogo/legends-of-andor-the-last-hope,legends-of-andor-the-last-hope
Daybreak,7.31,8.27,68,https://ludopedia.com.br/jogo/daybreak,daybreak
Rebel Princess (2ª Edição),7.31,8.36,62,https://ludopedia.com.br/jogo/rebel-princess-2nd-edition,rebel-princess-2nd-edition
El Grande (2023),7.31,8.86,42,https://ludopedia.com.br/jogo/el-grande-2023,el-grande-2023
Uno Minimalista,7.31,7.47,407,https://ludopedia.com.br/jogo/uno-minimalista,uno-minimalista
Metro,7.31,7.44,490,https://ludopedia.com.br/jogo/metro,metro
O Labirinto Mágico,7.31,7.8,133,https://ludopedia.com.br/jogo/the-magic-labyrinth,the-magic-labyrinth
Mysterium Park,7.31,7.66,187,https://ludopedia.com.br/jogo/mysterium-park,mysterium-park
DC Comics Deck-Building Game,7.31,7.93,105,https://ludopedia.com.br/jogo/dc-comics-deck-building-game,dc-comics-deck-building-game
Cities,7.3,7.83,123,https://ludopedia.com.br/jogo/cities,cities
Ca$h 'n Guns: Second Edition,7.3,7.39,729,https://ludopedia.com.br/jogo/ca-h-n-guns-second-edition,ca-h-n-guns-second-edition
Forest Shuffle: Dartmoor,7.3,8.19,73,https://ludopedia.com.br/jogo/forest-shuffle-dartmoor,forest-shuffle-dartmoor
Indian Summer,7.3,7.49,344,https://ludopedia.com.br/jogo/indian-summer,indian-summer
Deus,7.3,7.67,174,https://ludopedia.com.br/jogo/deus,deus
Tag Team,7.3,8.28,66,https://ludopedia.com.br/jogo/tag-team,tag-team
Contos e Jogos: A Lebre e a Tartaruga,7.3,7.61,212,https://ludopedia.com.br/jogo/tales-games-the-hare-the-tortoise,tales-games-the-hare-the-tortoise
Tobago,7.3,7.71,159,https://ludopedia.com.br/jogo/tobago,tobago
Tiny Epic Game of Thrones,7.3,8.88,41,https://ludopedia.com.br/jogo/tiny-epic-game-of-thrones,tiny-epic-game-of-thrones
Eternal Decks,7.3,9.05,37,https://ludopedia.com.br/jogo/eternal-decks,eternal-decks
Viral,7.3,7.5,322,https://ludopedia.com.br/jogo/viral,viral
Ancient Terrible Things,7.3,7.54,265,https://ludopedia.com.br/jogo/ancient-terrible-things,ancient-terrible-things
Gardens,7.3,7.47,382,https://ludopedia.com.br/jogo/gardens,gardens
Forgotten Waters,7.3,8.08,83,https://ludopedia.com.br/jogo/forgotten-waters,forgotten-waters
Imperialismo: América,7.3,7.92,105,https://ludopedia.com.br/jogo/imperialismo-america,imperialismo-america
Can't Stop,7.3,7.44,461,https://ludopedia.com.br/jogo/can-t-stop,can-t-stop
Jekyll vs Hyde,7.3,7.84,120,https://ludopedia.com.br/jogo/jekyll-vs-hyde,jekyll-vs-hyde
Fuji Flush,7.3,7.8,130,https://ludopedia.com.br/jogo/fuji-flush,fuji-flush
Safra Ideal,7.29,7.75,143,https://ludopedia.com.br/jogo/wine-cellar,wine-cellar
Fresco: Mega Box,7.29,8.31,64,https://ludopedia.com.br/jogo/fresco-mega-box,fresco-mega-box
Dungeon Mayhem,7.29,7.78,133,https://ludopedia.com.br/jogo/dungeon-mayhem,dungeon-mayhem
Railways of Nippon,7.29,8.39,59,https://ludopedia.com.br/jogo/railways-of-nippon,railways-of-nippon
É Top!?: Natureza,7.29,7.58,223,https://ludopedia.com.br/jogo/e-top-natureza,e-top-natureza
Fantasma Blitz,7.29,7.42,480,https://ludopedia.com.br/jogo/ghost-blitz,ghost-blitz
Throw Throw Burrito,7.29,7.73,146,https://ludopedia.com.br/jogo/throw-throw-burrito,throw-throw-burrito
Ginkgopolis,7.29,8.04,86,https://ludopedia.com.br/jogo/ginkgopolis,ginkgopolis
Bruxelles 1893: Belle Epoque,7.29,9.03,37,https://ludopedia.com.br/jogo/bruxelles-1893-belle-epoque,bruxelles-1893-belle-epoque
Disney Villainous: Perfectly Wretched,7.29,8.55,51,https://ludopedia.com.br/jogo/disney-villainous-perfectly-wretched,disney-villainous-perfectly-wretched
Eu sou uma Banana,7.29,7.78,131,https://ludopedia.com.br/jogo/i-am-a-banana,i-am-a-banana
Não Pode,7.28,7.73,145,https://ludopedia.com.br/jogo/nao-pode,nao-pode
Port Royal: A Caminho!,7.28,7.85,114,https://ludopedia.com.br/jogo/port-royal-unterwegs,port-royal-unterwegs
Sanduíche,7.28,8.57,50,https://ludopedia.com.br/jogo/sanduiche-jogo-de-cartas,sanduiche-jogo-de-cartas
Nemesis: Retaliation,7.28,9.02,37,https://ludopedia.com.br/jogo/nemesis-retaliation,nemesis-retaliation
O Vale dos Mercadores,7.28,7.58,214,https://ludopedia.com.br/jogo/dale-of-merchants,dale-of-merchants
Nokosu Dice,7.28,9.02,37,https://ludopedia.com.br/jogo/nokosu-dice,nokosu-dice
Space Alert,7.28,7.57,222,https://ludopedia.com.br/jogo/space-alert,space-alert
RoboRally,7.28,7.82,119,https://ludopedia.com.br/jogo/roborally,roborally
Fury of Dracula (second edition),7.28,8.04,84,https://ludopedia.com.br/jogo/fury-of-dracula-second-edition,fury-of-dracula-second-edition
Dominó Mexicano,7.28,8.0,88,https://ludopedia.com.br/jogo/mexican-train,mexican-train
YINSH,7.28,8.01,87,https://ludopedia.com.br/jogo/yinsh,yinsh
Fuse,7.28,7.81,119,https://ludopedia.com.br/jogo/fuse,fuse
Krosmaster Arena 2.0,7.28,7.45,360,https://ludopedia.com.br/jogo/krosmaster-arena-2-0,krosmaster-arena-2-0
Crown of Emara,7.28,8.26,65,https://ludopedia.com.br/jogo/crown-of-emara,crown-of-emara
Chakra,7.28,7.86,110,https://ludopedia.com.br/jogo/chakra,chakra
Terra do Sol,7.28,9.05,36,https://ludopedia.com.br/jogo/terra-do-sol,terra-do-sol
Not Alone,7.27,7.53,249,https://ludopedia.com.br/jogo/not-alone,not-alone
Marvel Battlegrounds,7.27,7.63,179,https://ludopedia.com.br/jogo/marvel-battlegrounds,marvel-battlegrounds
Hidden Leaders,7.27,7.57,211,https://ludopedia.com.br/jogo/hidden-leaders,hidden-leaders
Skull,7.27,7.39,534,https://ludopedia.com.br/jogo/skull,skull
"Heroes of Land, Air & Sea",7.27,8.43,55,https://ludopedia.com.br/jogo/heroes-of-land-air-sea,heroes-of-land-air-sea
Stone Age: Anniversary,7.27,8.71,44,https://ludopedia.com.br/jogo/stone-age-anniversary,stone-age-anniversary
Uno Flip!,7.27,7.52,250,https://ludopedia.com.br/jogo/uno-flip,uno-flip
Railroad Revolution,7.27,8.18,70,https://ludopedia.com.br/jogo/railroad-revolution,railroad-revolution
Bad Company,7.27,7.68,156,https://ludopedia.com.br/jogo/bad-company,bad-company
Mouse Maze,7.27,8.15,72,https://ludopedia.com.br/jogo/mouse-maze,mouse-maze
Emboscados,7.27,7.54,235,https://ludopedia.com.br/jogo/emboscados,emboscados
Trolls e Princesas,7.27,7.99,88,https://ludopedia.com.br/jogo/trolls-and-princesses,trolls-and-princesses
As Torres de Arkhanos,7.27,7.55,228,https://ludopedia.com.br/jogo/the-towers-of-arkhanos,the-towers-of-arkhanos
Mandala Stones,7.27,7.61,185,https://ludopedia.com.br/jogo/mandala-stones,mandala-stones
Dobble: Disney 100 Edition,7.27,7.79,121,https://ludopedia.com.br/jogo/dobble-disney-100-years-of-wonder,dobble-disney-100-years-of-wonder
Cat Lady,7.27,7.77,126,https://ludopedia.com.br/jogo/cat-lady,cat-lady
Yedo,7.27,8.04,82,https://ludopedia.com.br/jogo/yedo,yedo
Railroad Ink: Edição Azul Profundo,7.26,7.48,300,https://ludopedia.com.br/jogo/railroad-ink-deep-blue-edition,railroad-ink-deep-blue-edition
Pets,7.26,7.97,90,https://ludopedia.com.br/jogo/pets,pets
Coup: The Resistance Universe,7.26,7.73,136,https://ludopedia.com.br/jogo/coup-the-resistance-universe,coup-the-resistance-universe
Dream Home,7.26,7.46,327,https://ludopedia.com.br/jogo/dream-home,dream-home
Game of Thrones: O Trono de Ferro,7.26,7.54,230,https://ludopedia.com.br/jogo/game-of-thrones-the-iron-throne,game-of-thrones-the-iron-throne
Claim 2,7.26,7.44,349,https://ludopedia.com.br/jogo/claim-2,claim-2
Junk Art,7.26,8.1,75,https://ludopedia.com.br/jogo/junk-art,junk-art
Dungeons & Dragons: Temple of Elemental Evil Board Game,7.26,8.52,50,https://ludopedia.com.br/jogo/dungeons-dragons-temple-of-elemental-evil-board-game,dungeons-dragons-temple-of-elemental-evil-board-game
Bardwood Grove: Floresta do Molejo,7.26,8.02,83,https://ludopedia.com.br/jogo/bardwood-grove,bardwood-grove
Fotomania,7.26,7.83,110,https://ludopedia.com.br/jogo/photograph,photograph
A Tale of Pirates,7.26,7.54,220,https://ludopedia.com.br/jogo/a-tale-of-pirates,a-tale-of-pirates
Nana,7.26,8.44,53,https://ludopedia.com.br/jogo/nana,nana
Encyclopedia,7.26,7.77,123,https://ludopedia.com.br/jogo/encyclopedia,encyclopedia
CIV: Carta Impera Victoria,7.25,7.51,245,https://ludopedia.com.br/jogo/civ-carta-impera-victoria,civ-carta-impera-victoria
Star Wars: Unlimited,7.25,8.59,47,https://ludopedia.com.br/jogo/star-wars-unlimited,star-wars-unlimited
K2,7.25,7.53,224,https://ludopedia.com.br/jogo/k2,k2
Via Nebula,7.25,7.85,106,https://ludopedia.com.br/jogo/via-nebula,via-nebula
Sherlock Holmes Consulting Detective,7.25,8.25,63,https://ludopedia.com.br/jogo/sherlock-holmes-consulting-detective,sherlock-holmes-consulting-detective
Irmã Nuna,7.25,9.15,33,https://ludopedia.com.br/jogo/irma-nuna,irma-nuna
Nessos,7.25,7.7,140,https://ludopedia.com.br/jogo/nessos,nessos
Passa Palavras,7.25,7.68,147,https://ludopedia.com.br/jogo/passa-palavras,passa-palavras
É Top!?: Mais Variedades,7.25,7.74,127,https://ludopedia.com.br/jogo/e-top-mais-variedades,e-top-mais-variedades
Mottainai,7.25,7.48,276,https://ludopedia.com.br/jogo/mottainai,mottainai
Dragon Eclipse,7.25,9.33,30,https://ludopedia.com.br/jogo/dragon-eclipse,dragon-eclipse
Piratas!,7.25,7.51,240,https://ludopedia.com.br/jogo/piratas,piratas
Dr. Eureka,7.25,7.4,422,https://ludopedia.com.br/jogo/dr-eureka,dr-eureka
Dany,7.25,7.54,216,https://ludopedia.com.br/jogo/dany,dany
Super Mega Lucky Box,7.25,7.77,119,https://ludopedia.com.br/jogo/super-mega-lucky-box,super-mega-lucky-box
Paranormal Detectives,7.25,7.82,108,https://ludopedia.com.br/jogo/paranormal-detectives,paranormal-detectives
At the Gates of Loyang,7.25,7.81,110,https://ludopedia.com.br/jogo/at-the-gates-of-loyang,at-the-gates-of-loyang
Sanssouci,7.24,7.65,151,https://ludopedia.com.br/jogo/sanssouci,sanssouci
Timeline: Brasil,7.24,7.44,311,https://ludopedia.com.br/jogo/timeline-brasil,timeline-brasil
Taverna,7.24,7.45,304,https://ludopedia.com.br/jogo/taverna,taverna
Unmatched: The Witcher - Aço e Prata,7.24,9.07,34,https://ludopedia.com.br/jogo/unmatched-the-witcher-steel-and-silver,unmatched-the-witcher-steel-and-silver
Qu4to (Quato),7.24,7.61,170,https://ludopedia.com.br/jogo/qu4to-quato,qu4to-quato
1830: Railways & Robber Barons,7.24,8.31,58,https://ludopedia.com.br/jogo/1830-railways-robber-barons,1830-railways-robber-barons
Shadows of Brimstone: Swamps of Death,7.24,8.65,44,https://ludopedia.com.br/jogo/shadows-of-brimstone-swamps-of-death,shadows-of-brimstone-swamps-of-death
UNO: Show 'Em No Mercy,7.24,7.42,342,https://ludopedia.com.br/jogo/uno-show-em-no-mercy,uno-show-em-no-mercy
Between Two Cities,7.24,7.57,186,https://ludopedia.com.br/jogo/between-two-cities,between-two-cities
Isso é meu!,7.24,7.8,111,https://ludopedia.com.br/jogo/isso-e-meu,isso-e-meu
Colt Super Express,7.24,7.48,262,https://ludopedia.com.br/jogo/colt-super-express,colt-super-express
Alubari,7.24,7.78,115,https://ludopedia.com.br/jogo/alubari-a-nice-cup-of-tea,alubari-a-nice-cup-of-tea
The Mind,7.24,7.27,2147,https://ludopedia.com.br/jogo/the-mind,the-mind
Córtex: Desafios!,7.24,7.42,339,https://ludopedia.com.br/jogo/cortex,cortex
The Mandalorian: Adventures,7.24,8.04,77,https://ludopedia.com.br/jogo/the-mandalorian-adventures,the-mandalorian-adventures
Moon Colony Bloodbath,7.24,8.09,73,https://ludopedia.com.br/jogo/moon-colony-bloodbath,moon-colony-bloodbath
Exploradores da Floresta,7.24,7.82,106,https://ludopedia.com.br/jogo/explorers-of-the-woodlands,explorers-of-the-woodlands
La Viña,7.24,7.82,105,https://ludopedia.com.br/jogo/la-vina,la-vina
Space Empires: 4X,7.24,8.47,50,https://ludopedia.com.br/jogo/space-empires-4x,space-empires-4x
Marvel Dice Throne: Scarlet Witch v. Thor v. Loki v. Spider-Man,7.23,8.52,48,https://ludopedia.com.br/jogo/marvel-dice-throne-scarlet-witch-v-thor-v-loki-v-spider-man,marvel-dice-throne-scarlet-witch-v-thor-v-loki-v-spider-man
Tiny Epic Western,7.23,7.7,133,https://ludopedia.com.br/jogo/tiny-epic-western,tiny-epic-western
Time Machine Rocket,7.23,7.87,97,https://ludopedia.com.br/jogo/time-machine-rocket,time-machine-rocket
For Northwood! A Solo Trick-Taking Game,7.23,8.35,55,https://ludopedia.com.br/jogo/for-northwood-a-solo-trick-taking-game,for-northwood-a-solo-trick-taking-game
Dead Man's Doubloons,7.23,7.46,268,https://ludopedia.com.br/jogo/dead-man-s-doubloons,dead-man-s-doubloons
Papayoo,7.23,7.48,252,https://ludopedia.com.br/jogo/papayoo,papayoo
Vomitolândia,7.23,8.99,35,https://ludopedia.com.br/jogo/vomitolandia,vomitolandia
Valknut,7.23,7.48,247,https://ludopedia.com.br/jogo/valknut,valknut
Heróis e Monstros,7.23,7.52,210,https://ludopedia.com.br/jogo/herois-e-monstros,herois-e-monstros
Endeavor,7.23,8.03,77,https://ludopedia.com.br/jogo/endeavor,endeavor
Sereias,7.23,7.9,92,https://ludopedia.com.br/jogo/sereias,sereias
Medium,7.23,7.88,95,https://ludopedia.com.br/jogo/medium,medium
Between Two Castles of Mad King Ludwig,7.23,7.54,196,https://ludopedia.com.br/jogo/between-two-castles-of-mad-king-ludwig,between-two-castles-of-mad-king-ludwig
Star Trek: Ascendancy,7.23,8.84,38,https://ludopedia.com.br/jogo/star-trek-ascendancy,star-trek-ascendancy
X-Men: Insurreição Mutante,7.23,7.68,137,https://ludopedia.com.br/jogo/x-men-mutant-insurrection,x-men-mutant-insurrection
Las Vegas,7.23,7.79,109,https://ludopedia.com.br/jogo/las-vegas,las-vegas
Abluxxen,7.23,7.52,207,https://ludopedia.com.br/jogo/linko-abluxxen,linko-abluxxen
Maharaja,7.23,7.62,158,https://ludopedia.com.br/jogo/maharaja,maharaja
Dutch Blitz,7.23,7.63,151,https://ludopedia.com.br/jogo/dutch-blitz,dutch-blitz
Riverboat,7.23,8.23,61,https://ludopedia.com.br/jogo/riverboat,riverboat
Paraíso dos Dinossauros,7.23,8.14,67,https://ludopedia.com.br/jogo/gods-love-dinosaurs,gods-love-dinosaurs
Batalha dos Deuses,7.23,8.28,58,https://ludopedia.com.br/jogo/batalha-dos-deuses,batalha-dos-deuses
Sankoré: The Pride of Mansa Musa,7.22,8.47,49,https://ludopedia.com.br/jogo/sankore-the-pride-of-mansa-musa,sankore-the-pride-of-mansa-musa
Cytosis: A Cell Biology Board Game,7.22,8.2,63,https://ludopedia.com.br/jogo/cytosis-a-cell-biology-board-game,cytosis-a-cell-biology-board-game
ZhanGuo,7.22,8.23,61,https://ludopedia.com.br/jogo/zhanguo,zhanguo
Haru Ichiban,7.22,7.59,166,https://ludopedia.com.br/jogo/haru-ichiban,haru-ichiban
4 Lead,7.22,9.77,24,https://ludopedia.com.br/jogo/4-lead,4-lead
Pescado Novo,7.22,7.44,279,https://ludopedia.com.br/jogo/pescado-novo,pescado-novo
Sator Arepo Tenet Opera Rotas: Malleus Maleficarum,7.22,7.89,91,https://ludopedia.com.br/jogo/sator-arepo-tenet-opera-rotas-malleus-maleficarum,sator-arepo-tenet-opera-rotas-malleus-maleficarum
Império Lendário,7.22,7.52,205,https://ludopedia.com.br/jogo/imperio-lendario,imperio-lendario
Kingdom Legacy: Reino Feudal,7.22,8.08,71,https://ludopedia.com.br/jogo/kingdom-legacy-feudal-kingdom,kingdom-legacy-feudal-kingdom
Bonsai,7.22,7.83,101,https://ludopedia.com.br/jogo/bonsai,bonsai
Telma (3ª edição),7.22,7.56,179,https://ludopedia.com.br/jogo/telma-3-edicao,telma-3-edicao
Zombicide: White Death,7.22,8.83,38,https://ludopedia.com.br/jogo/zombicide-white-death,zombicide-white-death
The Climbers,7.22,7.52,207,https://ludopedia.com.br/jogo/the-climbers,the-climbers
My Village,7.22,7.81,103,https://ludopedia.com.br/jogo/my-village,my-village
Love Letter Premium,7.22,8.09,70,https://ludopedia.com.br/jogo/love-letter-premium,love-letter-premium
Minos: Aurora da Idade do Bronze,7.22,8.27,58,https://ludopedia.com.br/jogo/minos-dawn-of-the-bronze-age,minos-dawn-of-the-bronze-age
Dungeon Mayhem: Monster Madness,7.22,8.34,54,https://ludopedia.com.br/jogo/dungeon-mayhem-monster-madness,dungeon-mayhem-monster-madness
Os Palácios de Carrara: Segunda Edição,7.21,7.75,113,https://ludopedia.com.br/jogo/the-palaces-of-carrara-second-edition,the-palaces-of-carrara-second-edition
Zuera,7.21,8.07,71,https://ludopedia.com.br/jogo/zuera,zuera
Matryoshka,7.21,7.32,583,https://ludopedia.com.br/jogo/matryoshka,matryoshka
Unmatched: The Witcher - A Queda dos Reinos,7.21,9.11,32,https://ludopedia.com.br/jogo/unmatched-the-witcher-realms-fall,unmatched-the-witcher-realms-fall
Avenue - Edição Especial,7.21,7.52,199,https://ludopedia.com.br/jogo/avenue-edicao-especial,avenue-edicao-especial
Virtù,7.21,7.75,112,https://ludopedia.com.br/jogo/virtu,virtu
Sherlock,7.21,7.36,395,https://ludopedia.com.br/jogo/sherlock-13,sherlock-13
Senda Zen,7.21,8.24,59,https://ludopedia.com.br/jogo/senda-zen,senda-zen
Pickomino,7.21,7.44,260,https://ludopedia.com.br/jogo/pickomino-heckmeck-am-bratwurmeck,pickomino-heckmeck-am-bratwurmeck
Otys,7.21,7.59,161,https://ludopedia.com.br/jogo/otys,otys
Great Western Trail: El Paso,7.21,7.93,84,https://ludopedia.com.br/jogo/great-western-trail-el-paso,great-western-trail-el-paso
"O Bom, o Mau e o Bode",7.21,7.97,79,https://ludopedia.com.br/jogo/o-bom-o-mau-e-o-bode,o-bom-o-mau-e-o-bode
Shadows: Amsterdam,7.21,7.49,214,https://ludopedia.com.br/jogo/shadows-amsterdam,shadows-amsterdam
Deep Sea Adventure,7.21,7.3,643,https://ludopedia.com.br/jogo/deep-sea-adventure,deep-sea-adventure
Feljong,7.21,8.93,35,https://ludopedia.com.br/jogo/feljong,feljong
Luthier,7.21,8.65,42,https://ludopedia.com.br/jogo/luthier,luthier
Rise of Augustus,7.21,7.69,124,https://ludopedia.com.br/jogo/rise-of-augustus,rise-of-augustus
Break the Cube,7.21,7.82,98,https://ludopedia.com.br/jogo/break-the-cube,break-the-cube
Dorfromantik: Sakura,7.21,8.72,40,https://ludopedia.com.br/jogo/dorfromantik-sakura,dorfromantik-sakura
Level 10,7.21,7.8,101,https://ludopedia.com.br/jogo/level-10,level-10
Space Hulk: Death Angel - The Card Game,7.21,7.9,87,https://ludopedia.com.br/jogo/space-hulk-death-angel-the-card-game,space-hulk-death-angel-the-card-game
Cidades Sombrias: Bristol 1350,7.21,7.72,118,https://ludopedia.com.br/jogo/bristol-1350,bristol-1350
Fairy Tile,7.2,7.41,297,https://ludopedia.com.br/jogo/fairy-tile,fairy-tile
New Eden Project,7.2,7.89,88,https://ludopedia.com.br/jogo/new-eden-project,new-eden-project
Star Wars: Destiny - Jogo para 2 Jogadores,7.2,7.65,134,https://ludopedia.com.br/jogo/star-wars-destiny-two-player-game,star-wars-destiny-two-player-game
Savannah Park,7.2,7.78,105,https://ludopedia.com.br/jogo/savannah-park,savannah-park
