nm_jogo,nota_rank,nota_media,qt_avaliacoes,link,slug
Marajoara,7.68,8.18,167,https://ludopedia.com.br/jogo/marajoara,marajoara
Ratos de Wistar,7.68,8.36,123,https://ludopedia.com.br/jogo/rats-of-wistar,rats-of-wistar
Hero Realms,7.68,8.18,166,https://ludopedia.com.br/jogo/hero-realms,hero-realms
Sherlock Holmes Consulting Detective: Os Assassinatos do Tâmisa & Outros Casos,7.68,8.3,135,https://ludopedia.com.br/jogo/sherlock-holmes-consulting-detective-the-thames-murders-other-cases,sherlock-holmes-consulting-detective-the-thames-murders-other-cases
Rock Hard: 1977,7.68,8.32,130,https://ludopedia.com.br/jogo/rock-hard-1977,rock-hard-1977
Fields of Green,7.68,7.87,438,https://ludopedia.com.br/jogo/fields-of-green,fields-of-green
O Dilema do Rei,7.67,8.32,129,https://ludopedia.com.br/jogo/the-king-s-dilemma,the-king-s-dilemma
Hellboy: The Board Game,7.67,8.03,237,https://ludopedia.com.br/jogo/hellboy-the-board-game,hellboy-the-board-game
The Castles of Tuscany,7.67,8.06,217,https://ludopedia.com.br/jogo/the-castles-of-tuscany,the-castles-of-tuscany
Messina 1347,7.67,8.18,165,https://ludopedia.com.br/jogo/messina-1347,messina-1347
Yamataï,7.67,8.14,177,https://ludopedia.com.br/jogo/yamatai,yamatai
Canvas,7.67,7.81,617,https://ludopedia.com.br/jogo/canvas,canvas
Mind MGMT: O “Jogo” de Espionagem Psíquica,7.67,8.16,171,https://ludopedia.com.br/jogo/mind-mgmt-the-psychic-espionage-game,mind-mgmt-the-psychic-espionage-game
Chronicles of Crime,7.67,7.88,392,https://ludopedia.com.br/jogo/chronicles-of-crime,chronicles-of-crime
Spyfall,7.67,7.75,1039,https://ludopedia.com.br/jogo/spyfall,spyfall
Castles of Mad King Ludwig,7.67,7.96,289,https://ludopedia.com.br/jogo/castles-of-mad-king-ludwig,castles-of-mad-king-ludwig
Steam,7.67,8.21,153,https://ludopedia.com.br/jogo/steam,steam
Quantum,7.67,8.09,199,https://ludopedia.com.br/jogo/quantum,quantum
Beyond the Sun,7.67,8.32,127,https://ludopedia.com.br/jogo/beyond-the-sun,beyond-the-sun
Hitster: Lado B,7.66,8.59,90,https://ludopedia.com.br/jogo/hitster-guilty-pleasures,hitster-guilty-pleasures
Crokinole,7.66,8.07,204,https://ludopedia.com.br/jogo/crokinole,crokinole
Marrakesh,7.66,8.44,107,https://ludopedia.com.br/jogo/marrakesh,marrakesh
Fireteam Zero,7.66,7.86,409,https://ludopedia.com.br/jogo/fireteam-zero,fireteam-zero
Mistborn: The Deckbuilding Game,7.66,8.42,109,https://ludopedia.com.br/jogo/mistborn-the-deckbuilding-game,mistborn-the-deckbuilding-game
Speakeasy,7.66,9.2,54,https://ludopedia.com.br/jogo/speakeasy,speakeasy
The Great Zimbabwe,7.66,8.37,117,https://ludopedia.com.br/jogo/the-great-zimbabwe,the-great-zimbabwe
San Juan (2ª Edição),7.66,7.85,440,https://ludopedia.com.br/jogo/san-juan-second-edition,san-juan-second-edition
Dead Man's Draw,7.66,7.77,734,https://ludopedia.com.br/jogo/dead-man-s-draw,dead-man-s-draw
Clank!: Legacy – Acquisitions Incorporated,7.65,8.95,64,https://ludopedia.com.br/jogo/clank-legacy-acquisitions-incorporated,clank-legacy-acquisitions-incorporated
Jamaica (Edição Revisada),7.65,7.77,707,https://ludopedia.com.br/jogo/jamaica-revised,jamaica-revised
Exploradores,7.65,7.79,598,https://ludopedia.com.br/jogo/lost-cities,lost-cities
Macao,7.65,8.25,139,https://ludopedia.com.br/jogo/macao,macao
Glory to Rome,7.65,8.1,184,https://ludopedia.com.br/jogo/glory-to-rome,glory-to-rome
