recorte,capital,cbo,ocupacao,admissoes,salario_medio,salario_p25,salario_mediana,salario_p75,salario_medio_real,horas_mediana,amostra_pequena,periodo_competencia
todas as atividades,Aracaju,421125,Operador de caixa,1826,1654.78,1621.0,1635.0,1660.0,1693.85,44.0,False,202508-202607
todas as atividades,Belo Horizonte,421125,Operador de caixa,16764,1761.79,1720.0,1720.0,1836.79,1802.69,44.0,False,202508-202607
todas as atividades,Belém,421125,Operador de caixa,3354,1708.87,1621.0,1670.0,1802.72,1750.4,44.0,False,202508-202607
todas as atividades,Boa Vista,421125,Operador de caixa,2245,1607.58,1601.49,1621.0,1621.0,1643.12,44.0,False,202508-202607
todas as atividades,Brasília,421125,Operador de caixa,13564,1659.59,1621.0,1639.44,1700.0,1696.63,44.0,False,202508-202607
todas as atividades,Campo Grande,421125,Operador de caixa,4056,1774.47,1665.0,1756.0,1831.0,1816.15,44.0,False,202508-202607
todas as atividades,Cuiabá,421125,Operador de caixa,4505,1733.23,1615.0,1720.0,1800.0,1773.02,44.0,False,202508-202607
todas as atividades,Curitiba,421125,Operador de caixa,14090,1917.47,1711.0,1927.02,2058.0,1962.76,44.0,False,202508-202607
todas as atividades,Florianópolis,421125,Operador de caixa,4101,2222.49,2127.0,2255.0,2256.0,2276.96,44.0,False,202508-202607
todas as atividades,Fortaleza,421125,Operador de caixa,8674,1645.5,1594.11,1635.0,1672.22,1682.31,44.0,False,202508-202607
todas as atividades,Goiânia,421125,Operador de caixa,9832,1703.22,1615.0,1653.75,1747.59,1742.63,44.0,False,202508-202607
todas as atividades,João Pessoa,421125,Operador de caixa,2766,1679.64,1675.0,1685.0,1700.0,1718.61,44.0,False,202508-202607
todas as atividades,Macapá,421125,Operador de caixa,1200,1623.48,1518.0,1621.0,1621.0,1660.42,44.0,False,202508-202607
todas as atividades,Maceió,421125,Operador de caixa,2670,1623.27,1553.0,1622.73,1660.0,1661.62,44.0,False,202508-202607
todas as atividades,Manaus,421125,Operador de caixa,5961,1617.31,1550.0,1621.0,1650.0,1654.76,44.0,False,202508-202607
todas as atividades,Natal,421125,Operador de caixa,2350,1604.89,1565.0,1621.0,1621.0,1641.48,44.0,False,202508-202607
todas as atividades,Palmas,421125,Operador de caixa,2474,1676.94,1621.0,1677.0,1677.0,1714.96,44.0,False,202508-202607
todas as atividades,Porto Alegre,421125,Operador de caixa,9177,1888.16,1812.95,1916.0,1916.0,1933.11,44.0,False,202508-202607
todas as atividades,Porto Velho,421125,Operador de caixa,1910,1716.43,1679.0,1700.0,1773.0,1755.25,44.0,False,202508-202607
todas as atividades,Recife,421125,Operador de caixa,3683,1706.22,1651.0,1715.77,1740.0,1746.56,44.0,False,202508-202607
todas as atividades,Rio Branco,421125,Operador de caixa,747,1644.27,1518.0,1621.0,1700.0,1681.52,44.0,False,202508-202607
todas as atividades,Rio de Janeiro,421125,Operador de caixa,21045,1753.95,1650.0,1768.81,1810.0,1794.71,44.0,False,202508-202607
todas as atividades,Salvador,421125,Operador de caixa,4770,1701.27,1621.0,1700.0,1704.0,1740.97,44.0,False,202508-202607
todas as atividades,São Luís,421125,Operador de caixa,2222,1691.3,1621.0,1686.14,1787.3,1730.77,44.0,False,202508-202607
todas as atividades,São Paulo,421125,Operador de caixa,42324,2075.84,1976.0,2100.0,2120.0,2123.96,44.0,False,202508-202607
todas as atividades,Teresina,421125,Operador de caixa,1957,1671.89,1631.7,1661.91,1728.39,1709.05,44.0,False,202508-202607
todas as atividades,Vitória,421125,Operador de caixa,2247,1726.57,1650.0,1674.75,1828.6,1764.04,44.0,False,202508-202607
todas as atividades,Aracaju,513205,Cozinheiro geral,775,1813.44,1621.0,1680.0,1900.0,1854.62,44.0,False,202508-202607
todas as atividades,Belo Horizonte,513205,Cozinheiro geral,5382,2018.61,1737.59,1944.38,2200.0,2063.43,44.0,False,202508-202607
todas as atividades,Belém,513205,Cozinheiro geral,2441,1729.96,1621.0,1650.0,1694.62,1770.62,44.0,False,202508-202607
todas as atividades,Boa Vista,513205,Cozinheiro geral,255,1777.4,1600.0,1621.0,1786.3,1816.38,44.0,False,202508-202607
todas as atividades,Brasília,513205,Cozinheiro geral,5307,1992.88,1702.0,1792.86,2126.2,2036.03,44.0,False,202508-202607
todas as atividades,Campo Grande,513205,Cozinheiro geral,1001,1942.47,1651.0,1830.0,2100.0,1985.94,44.0,False,202508-202607
todas as atividades,Cuiabá,513205,Cozinheiro geral,1233,1899.49,1645.0,1741.5,2000.0,1941.92,44.0,False,202508-202607
todas as atividades,Curitiba,513205,Cozinheiro geral,7295,2011.09,1782.73,1900.0,2166.0,2055.38,44.0,False,202508-202607
todas as atividades,Florianópolis,513205,Cozinheiro geral,2205,2216.79,1978.0,2146.0,2317.0,2268.04,44.0,False,202508-202607
todas as atividades,Fortaleza,513205,Cozinheiro geral,4935,1737.03,1621.0,1655.52,1767.93,1784.19,44.0,False,202508-202607
todas as atividades,Goiânia,513205,Cozinheiro geral,2472,2022.6,1635.87,1854.62,2288.0,2068.95,44.0,False,202508-202607
todas as atividades,João Pessoa,513205,Cozinheiro geral,2187,1712.55,1600.0,1638.39,1700.0,1756.52,44.0,False,202508-202607
todas as atividades,Macapá,513205,Cozinheiro geral,421,1758.07,1621.0,1621.0,1889.35,1789.26,44.0,False,202508-202607
todas as atividades,Maceió,513205,Cozinheiro geral,898,1848.64,1621.43,1695.0,1900.0,1892.38,44.0,False,202508-202607
todas as atividades,Manaus,513205,Cozinheiro geral,1660,1814.99,1621.0,1765.0,1860.0,1855.56,44.0,False,202508-202607
todas as atividades,Natal,513205,Cozinheiro geral,1287,1753.85,1607.81,1653.0,1720.36,1794.66,44.0,False,202508-202607
todas as atividades,Palmas,513205,Cozinheiro geral,855,1851.38,1793.0,1850.0,1850.0,1892.47,44.0,False,202508-202607
todas as atividades,Porto Alegre,513205,Cozinheiro geral,3415,1924.36,1770.0,1850.0,2035.74,1968.72,44.0,False,202508-202607
todas as atividades,Porto Velho,513205,Cozinheiro geral,368,1822.12,1621.0,1706.5,1850.82,1866.02,44.0,False,202508-202607
todas as atividades,Recife,513205,Cozinheiro geral,2717,1786.75,1638.39,1700.0,1826.27,1825.96,44.0,False,202508-202607
todas as atividades,Rio Branco,513205,Cozinheiro geral,502,1729.48,1642.0,1657.48,1790.07,1756.82,44.0,False,202508-202607
todas as atividades,Rio de Janeiro,513205,Cozinheiro geral,10737,1945.75,1626.28,1810.0,2112.11,1990.38,44.0,False,202508-202607
todas as atividades,Salvador,513205,Cozinheiro geral,3709,1743.43,1621.0,1683.84,1800.0,1782.03,44.0,False,202508-202607
todas as atividades,São Luís,513205,Cozinheiro geral,1179,1713.8,1570.0,1665.59,1750.0,1759.93,44.0,False,202508-202607
todas as atividades,São Paulo,513205,Cozinheiro geral,28853,2242.3,1850.0,2092.54,2500.0,2293.17,44.0,False,202508-202607
todas as atividades,Teresina,513205,Cozinheiro geral,708,1715.23,1570.0,1675.0,1708.02,1754.4,44.0,False,202508-202607
todas as atividades,Vitória,513205,Cozinheiro geral,1028,2097.21,1749.0,2038.65,2364.49,2144.67,44.0,False,202508-202607
todas as atividades,Aracaju,513405,Garçom,674,1627.45,1560.0,1621.0,1661.0,1667.65,44.0,False,202508-202607
todas as atividades,Belo Horizonte,513405,Garçom,3032,1765.98,1623.94,1738.0,1750.0,1806.36,44.0,False,202508-202607
todas as atividades,Belém,513405,Garçom,798,1653.73,1580.0,1621.0,1680.0,1698.86,44.0,False,202508-202607
todas as atividades,Boa Vista,513405,Garçom,252,1615.57,1586.31,1621.0,1621.0,1655.8,44.0,False,202508-202607
todas as atividades,Brasília,513405,Garçom,4259,1824.32,1639.44,1750.68,1750.68,1866.2,44.0,False,202508-202607
todas as atividades,Campo Grande,513405,Garçom,708,1756.2,1621.0,1691.2,1842.54,1794.94,44.0,False,202508-202607
