tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Sexo,valor_original,valor
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5208707,Goiânia (GO),202502,Total,4701,4701.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5208707,Goiânia (GO),202503,Total,4785,4785.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5208707,Goiânia (GO),202504,Total,5240,5240.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5208707,Goiânia (GO),202601,Total,5718,5718.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5208707,Goiânia (GO),202602,Total,5496,5496.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2111300,São Luís (MA),202403,Total,3332,3332.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2111300,São Luís (MA),202404,Total,3287,3287.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2111300,São Luís (MA),202501,Total,3276,3276.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2111300,São Luís (MA),202502,Total,3346,3346.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2111300,São Luís (MA),202503,Total,3502,3502.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2111300,São Luís (MA),202504,Total,3037,3037.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2111300,São Luís (MA),202601,Total,3154,3154.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,2111300,São Luís (MA),202602,Total,3190,3190.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5103403,Cuiabá (MT),202403,Total,4412,4412.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5103403,Cuiabá (MT),202404,Total,4097,4097.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5103403,Cuiabá (MT),202501,Total,4005,4005.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5103403,Cuiabá (MT),202502,Total,3983,3983.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5103403,Cuiabá (MT),202503,Total,4084,4084.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5103403,Cuiabá (MT),202504,Total,4128,4128.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5103403,Cuiabá (MT),202601,Total,4485,4485.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5103403,Cuiabá (MT),202602,Total,4626,4626.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5002704,Campo Grande (MS),202403,Total,4190,4190.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5002704,Campo Grande (MS),202404,Total,4265,4265.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5002704,Campo Grande (MS),202501,Total,4357,4357.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5002704,Campo Grande (MS),202502,Total,4243,4243.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5002704,Campo Grande (MS),202503,Total,4172,4172.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5002704,Campo Grande (MS),202504,Total,4163,4163.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5002704,Campo Grande (MS),202601,Total,4276,4276.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,5002704,Campo Grande (MS),202602,Total,4189,4189.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,3106200,Belo Horizonte (MG),202403,Total,4526,4526.0
5436,5932,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal",Reais,Município,3106200,Belo Horizonte (MG),202404,Total,4483,4483.0
