tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Sexo,Forma de declaração da idade,Idade,valor_original,valor
9514,93,População residente,Pessoas,Município,1600303,Macapá (AP),2022,Total,Total,20 a 24 anos,42092,42092.0
9514,93,População residente,Pessoas,Município,1302603,Manaus (AM),2022,Total,Total,20 a 24 anos,186449,186449.0
9514,93,População residente,Pessoas,Município,2927408,Salvador (BA),2022,Total,Total,20 a 24 anos,176681,176681.0
9514,93,População residente,Pessoas,Município,2304400,Fortaleza (CE),2022,Total,Total,20 a 24 anos,189360,189360.0
9514,93,População residente,Pessoas,Município,5300108,Brasília (DF),2022,Total,Total,20 a 24 anos,227966,227966.0
9514,93,População residente,Pessoas,Município,3205309,Vitória (ES),2022,Total,Total,20 a 24 anos,22666,22666.0
9514,93,População residente,Pessoas,Município,5208707,Goiânia (GO),2022,Total,Total,20 a 24 anos,113359,113359.0
9514,93,População residente,Pessoas,Município,2111300,São Luís (MA),2022,Total,Total,20 a 24 anos,90397,90397.0
9514,93,População residente,Pessoas,Município,5103403,Cuiabá (MT),2022,Total,Total,20 a 24 anos,49212,49212.0
9514,93,População residente,Pessoas,Município,5002704,Campo Grande (MS),2022,Total,Total,20 a 24 anos,66260,66260.0
9514,93,População residente,Pessoas,Município,3106200,Belo Horizonte (MG),2022,Total,Total,20 a 24 anos,169064,169064.0
9514,93,População residente,Pessoas,Município,1501402,Belém (PA),2022,Total,Total,20 a 24 anos,104095,104095.0
9514,93,População residente,Pessoas,Município,2507507,João Pessoa (PB),2022,Total,Total,20 a 24 anos,63682,63682.0
9514,93,População residente,Pessoas,Município,4106902,Curitiba (PR),2022,Total,Total,20 a 24 anos,131613,131613.0
9514,93,População residente,Pessoas,Município,2611606,Recife (PE),2022,Total,Total,20 a 24 anos,108788,108788.0
9514,93,População residente,Pessoas,Município,2211001,Teresina (PI),2022,Total,Total,20 a 24 anos,72129,72129.0
9514,93,População residente,Pessoas,Município,3304557,Rio de Janeiro (RJ),2022,Total,Total,20 a 24 anos,439660,439660.0
9514,93,População residente,Pessoas,Município,2408102,Natal (RN),2022,Total,Total,20 a 24 anos,57881,57881.0
9514,93,População residente,Pessoas,Município,4314902,Porto Alegre (RS),2022,Total,Total,20 a 24 anos,93432,93432.0
9514,93,População residente,Pessoas,Município,1100205,Porto Velho (RO),2022,Total,Total,20 a 24 anos,38595,38595.0
9514,93,População residente,Pessoas,Município,1400100,Boa Vista (RR),2022,Total,Total,20 a 24 anos,40291,40291.0
9514,93,População residente,Pessoas,Município,4205407,Florianópolis (SC),2022,Total,Total,20 a 24 anos,41329,41329.0
9514,93,População residente,Pessoas,Município,3550308,São Paulo (SP),2022,Total,Total,20 a 24 anos,845139,845139.0
9514,93,População residente,Pessoas,Município,2800308,Aracaju (SE),2022,Total,Total,20 a 24 anos,47506,47506.0
9514,93,População residente,Pessoas,Município,1721000,Palmas (TO),2022,Total,Total,20 a 24 anos,29250,29250.0
