tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,valor_original,valor
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2501,João Pessoa - PB,2023,2109,2109.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2501,João Pessoa - PB,2024,2098,2098.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2501,João Pessoa - PB,2025,2215,2215.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2601,Recife - PE,2023,1576,1576.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2601,Recife - PE,2024,1988,1988.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2601,Recife - PE,2025,1951,1951.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2701,Maceió - AL,2023,1608,1608.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2701,Maceió - AL,2024,1818,1818.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2701,Maceió - AL,2025,2015,2015.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2801,Aracaju - SE,2023,1820,1820.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2801,Aracaju - SE,2024,2090,2090.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2801,Aracaju - SE,2025,2429,2429.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2901,Salvador - BA,2023,1985,1985.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2901,Salvador - BA,2024,1901,1901.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,2901,Salvador - BA,2025,1900,1900.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,3101,Belo Horizonte - MG,2023,2672,2672.0
