anexo,faixa,rotulo_faixa,tributo,percentual,valor_original
IV,5,5 a Faixa,ISS (*),40.0,"40,00% (*)"
IV,6,6 a Faixa,IRPJ,53.5,"53,50%"
IV,6,6 a Faixa,CSLL,21.5,"21,50%"
IV,6,6 a Faixa,Cofins,20.55,"20,55%"
IV,6,6 a Faixa,PIS/Pasep,4.45,"4,45%"
IV,6,6 a Faixa,ISS (*),,-
IV,5,"5 a Faixa, comalíquota efetiva superior a 12,5%",IRPJ,31.33,"Alíquota efetiva – 5%) x 31,33%"
IV,5,"5 a Faixa, comalíquota efetiva superior a 12,5%",CSLL,32.0,"(Alíquota efetiva – 5%) x 32,00%"
IV,5,"5 a Faixa, comalíquota efetiva superior a 12,5%",Cofins,30.13,"(Alíquota efetiva – 5%) x 30,13%"
IV,5,"5 a Faixa, comalíquota efetiva superior a 12,5%",PIS/Pasep,6.54,"Alíquota efetiva – 5%) x 6,54%"
IV,5,"5 a Faixa, comalíquota efetiva superior a 12,5%",ISS (*),,Percentual de ISS fixo em 5%
V,1,1 a Faixa,IRPJ,25.0,"25,00%"
V,1,1 a Faixa,CSLL,15.0,"15,00%"
V,1,1 a Faixa,Cofins,14.1,"14,10%"
V,1,1 a Faixa,PIS/Pasep,3.05,"3,05%"
V,1,1 a Faixa,CPP,28.85,"28,85%"
V,1,1 a Faixa,ISS,14.0,"14,00%"
V,2,2 a Faixa,IRPJ,23.0,"23,00%"
V,2,2 a Faixa,CSLL,15.0,"15,00%"
V,2,2 a Faixa,Cofins,14.1,"14,10%"
V,2,2 a Faixa,PIS/Pasep,3.05,"3,05%"
V,2,2 a Faixa,CPP,27.85,"27,85%"
V,2,2 a Faixa,ISS,17.0,"17,00%"
V,3,3 a Faixa,IRPJ,24.0,"24,00%"
V,3,3 a Faixa,CSLL,15.0,"15,00%"
V,3,3 a Faixa,Cofins,14.92,"14,92%"
V,3,3 a Faixa,PIS/Pasep,3.23,"3,23%"
V,3,3 a Faixa,CPP,23.85,"23,85%"
V,3,3 a Faixa,ISS,19.0,"19,00%"
V,4,4 a Faixa,IRPJ,21.0,"21,00%"
V,4,4 a Faixa,CSLL,15.0,"15,00%"
V,4,4 a Faixa,Cofins,15.74,"15,74%"
V,4,4 a Faixa,PIS/Pasep,3.41,"3,41%"
V,4,4 a Faixa,CPP,23.85,"23,85%"
V,4,4 a Faixa,ISS,21.0,"21,00%"
V,5,5 a Faixa,IRPJ,23.0,"23,00%"
V,5,5 a Faixa,CSLL,12.5,"12,50%"
V,5,5 a Faixa,Cofins,14.1,"14,10%"
V,5,5 a Faixa,PIS/Pasep,3.05,"3,05%"
V,5,5 a Faixa,CPP,23.85,"23,85%"
V,5,5 a Faixa,ISS,23.5,"23,50%"
V,6,6 a Faixa,IRPJ,35.0,"35,00%"
V,6,6 a Faixa,CSLL,15.5,"15,50%"
V,6,6 a Faixa,Cofins,16.44,"16,44%"
V,6,6 a Faixa,PIS/Pasep,3.56,"3,56%"
V,6,6 a Faixa,CPP,29.5,"29,50%"
V,6,6 a Faixa,ISS,,-
