tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,"Geral, grupo, subgrupo, item e subitem",valor_original,valor
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202407,Índice geral,0.53,0.53
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202408,Índice geral,-0.54,-0.54
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202409,Índice geral,0.60,0.6
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202410,Índice geral,0.57,0.57
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202411,Índice geral,0.33,0.33
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202412,Índice geral,0.71,0.71
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202501,Índice geral,-0.08,-0.08
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202502,Índice geral,1.41,1.41
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202503,Índice geral,0.55,0.55
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202504,Índice geral,0.45,0.45
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202505,Índice geral,0.33,0.33
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202506,Índice geral,0.22,0.22
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202507,Índice geral,-0.02,-0.02
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202508,Índice geral,-0.27,-0.27
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202509,Índice geral,1.02,1.02
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202510,Índice geral,-0.15,-0.15
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202511,Índice geral,-0.05,-0.05
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202512,Índice geral,-0.19,-0.19
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202601,Índice geral,0.23,0.23
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202602,Índice geral,0.28,0.28
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202603,Índice geral,1.39,1.39
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202604,Índice geral,1.09,1.09
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202605,Índice geral,0.87,0.87
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202606,Índice geral,0.43,0.43
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202607,Índice geral,0.13,0.13
7060,63,IPCA - Variação mensal,%,Município,2111300,São Luís - MA,202608,Índice geral,-0.60,-0.6
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202309,Índice geral,0.08,0.08
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202310,Índice geral,0.10,0.1
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202311,Índice geral,0.19,0.19
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202312,Índice geral,-0.29,-0.29
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202401,Índice geral,0.73,0.73
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202402,Índice geral,1.09,1.09
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202403,Índice geral,0.50,0.5
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202404,Índice geral,0.78,0.78
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202405,Índice geral,0.60,0.6
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202406,Índice geral,0.08,0.08
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202407,Índice geral,0.18,0.18
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202408,Índice geral,-0.33,-0.33
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202409,Índice geral,0.07,0.07
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202410,Índice geral,0.11,0.11
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202411,Índice geral,0.24,0.24
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202412,Índice geral,0.67,0.67
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202501,Índice geral,0.59,0.59
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202502,Índice geral,1.64,1.64
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202503,Índice geral,0.40,0.4
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202504,Índice geral,0.39,0.39
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202505,Índice geral,0.24,0.24
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202506,Índice geral,0.14,0.14
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202507,Índice geral,0.28,0.28
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202508,Índice geral,-0.26,-0.26
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202509,Índice geral,0.52,0.52
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202510,Índice geral,0.20,0.2
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202511,Índice geral,-0.10,-0.1
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202512,Índice geral,0.36,0.36
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202601,Índice geral,0.40,0.4
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202602,Índice geral,0.68,0.68
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202603,Índice geral,0.92,0.92
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202604,Índice geral,0.84,0.84
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202605,Índice geral,1.31,1.31
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202606,Índice geral,-0.02,-0.02
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202607,Índice geral,-0.12,-0.12
7060,63,IPCA - Variação mensal,%,Município,2800308,Aracaju - SE,202608,Índice geral,-0.38,-0.38
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202309,Índice geral,0.46,0.46
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202310,Índice geral,0.28,0.28
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202311,Índice geral,0.47,0.47
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202312,Índice geral,0.43,0.43
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202401,Índice geral,0.48,0.48
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202402,Índice geral,0.81,0.81
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202403,Índice geral,0.11,0.11
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202404,Índice geral,0.36,0.36
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202405,Índice geral,0.42,0.42
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202406,Índice geral,0.12,0.12
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202407,Índice geral,0.29,0.29
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202408,Índice geral,0.03,0.03
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202409,Índice geral,0.58,0.58
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202410,Índice geral,0.70,0.7
