place_id,nome,endereco,capital_busca,termo_busca
ChIJZ4TBj5NFAQcRJjXB1Dh2VE0,DKPA,"Centro, Maceió - AL, 57020-070, Brasil",Maceió,ludoteca
ChIJPzFX2EVFAQcRERBfWGSTHis,Mundo kids aluguel de brinquedos,"R. São Jorge, 63 - Barro Duro, Maceió - AL, 57045-620, Brasil",Maceió,ludoteca
ChIJ05Qc1D5HAQcReP-gIxXnoC4,Beta Pedagógico,"R. Nilo Moraes Amorim, 41 - Antares, Maceió - AL, 57048-041, Brasil",Maceió,ludoteca
ChIJOcN4oDFFAQcRp-WhVJN7cKQ,Divert Kids - Creche Escola,"R. Pedro Américo, 1076 - Poço, Maceió - AL, 57030-580, Brasil",Maceió,ludoteca
ChIJVRviVQQ-AQcRORsVuGhA5tA,Hibiscus Beach Club,"Residencial Angra de Ipioca - AL-101 - Ipioca, Maceió - AL, 57039-705, Brasil",Maceió,ludoteca
ChIJhxAvwPNFAQcRuvI0KbGpHGc,Karlota's Festas Infantis,"R. Dez de Novembro, 286 - Pitanguinha, Maceió - AL, 57052-220, Brasil",Maceió,ludoteca
ChIJ9a-eQBdIAQcRHr8QcRDyw4s,Shopping Pátio Maceió,"Av. Menino Marcelo, 3800 - Cidade Universitária, Maceió - AL, 57073-900, Brasil",Maceió,ludoteca
ChIJSVSutgFFAQcR3LfVG2MNiFU,The Public House,"Edf. Time - R. Durval Guimarães, 532 - Lj 7 - Ponta Verde, Maceió - AL, 57035-060, Brasil",Maceió,quiz bar
ChIJTzXegbBFAQcRqOFAITIzAIM,El Lugar Bar,"R. Dr. Sadi Carvalho, 05 - Jatiúca, Maceió - AL, 57036-160, Brasil",Maceió,quiz bar
ChIJE4n21clFAQcR9QtjLnimTd8,Maikai,"Av. Eng. Paulo Brandão Nogueira, 540 - Jatiúca, Maceió - AL, 57036-540, Brasil",Maceió,quiz bar
ChIJGZqe4nFFAQcROKyoXPArrvM,Rex Bar,"R. Sá e Albuquerque, 674 - Jaraguá, Maceió - AL, 57022-180, Brasil",Maceió,quiz bar
ChIJL6JzyLZFAQcRIkqx0kVHb0g,Conversa Botequim,"Av. Empresário Carlos da Silva Nogueira, 334 - Jatiúca, Maceió - AL, 57036-540, Brasil",Maceió,quiz bar
ChIJY9IHdwZFAQcRjhyoOb544w0,Gravity PUB (Studio & Karaokê),"Av. Dom Antônio Brandão, 17 - Farol, Maceió - AL, 57051-190, Brasil",Maceió,quiz bar
ChIJO_Cy3alFAQcR4u2an4gX-mw,Lopana,"Av. Silvio Carlos Viana, 27 - Ponta Verde, Maceió - AL, 57035-160, Brasil",Maceió,quiz bar
ChIJc4z0GXBFAQcRGn5YSC0gnbo,Lorde Nelson Rest Pub - Bar de Metal 🤘,"R. Silvério Jorge, 241 - Jaraguá, Maceió - AL, 57022-050, Brasil",Maceió,quiz bar
ChIJ-0GPaGtFAQcRrV5hGAXFnFA,Jesse James,"Av. Prof. Vital Barbosa, 379 - Ponta Verde, Maceió - AL, 57035-400, Brasil",Maceió,quiz bar
ChIJLQLZ06VFAQcRnwRlxv3ZCco,Babasom Rock Bar,"R. Pres. Agostinho da Silva Neves, 19 - Poço, Maceió - AL, 57025-245, Brasil",Maceió,quiz bar
ChIJiXqBkbBFAQcRVHmnIQ2w9mI,Tapanacê Beer Truck,"Tapanacê Beer Truck Praça Denis Agra - R. Aprígio Francisco de Souza, S/N - Poço, Maceió - AL, 57025-280, Brasil",Maceió,quiz bar
ChIJMxRFUN9GAQcROREhqJLRvn4,Barraca Bar Brasil,"R. da Praia, 62 - Guaxuma, Maceió - AL, 57038-750, Brasil",Maceió,quiz bar
ChIJp-dR7yJJAQcR3Zd3n8wplxA,Boate Night Drinks - Cabaré,"R. Rosa Cruz, 6 - Santos Dumont, Maceió - AL, 57075-585, Brasil",Maceió,quiz bar
ChIJDUoU8QlJAQcR5J807Tuy3gY,Latin House Maceió,"Av. Menino Marcelo, 134 - Tabuleiro do Martins, Maceió - AL, 57081-385, Brasil",Maceió,quiz bar
ChIJ4Y7M96dFAQcRgd3v2p5uqUM,Restaurante Casa de Mainha | Self Service | Pajuçara,"R. Eng. Demócrito Sarmento Barroca, 80 - Pajuçara, Maceió - AL, 57030-500, Brasil",Maceió,quiz bar
ChIJ4c7C9AdFAQcRpeS0b9XNDsY,Orla Praia Pajuçara,"Av. Silvio Carlos Viana, 254 - Pajuçara, Maceió - AL, 57035-160, Brasil",Maceió,quiz bar
ChIJy62vrLtFAQcRdSucKKus09I,Sanduba do Careca,"Av. Empresário Carlos da Silva Nogueira, 495 - Jatiúca, Maceió - AL, 57036-540, Brasil",Maceió,quiz bar
ChIJZxn0yQlFAQcRVb5vmSqaNOw,Dona Moça Restaurante,"R. Júlio Plech Filho, 1300 - Ponta da Terra, Maceió - AL, 57030-540, Brasil",Maceió,quiz bar
ChIJ6Yn7M71FAQcRM-u_TrNWSkQ,HomeVR,"Av. Dr. Júlio Marques Luz, 1599 - Jatiúca, Maceió - AL, 57035-700, Brasil",Maceió,board game bar
ChIJ6Yn7M71FAQcRM-u_TrNWSkQ,HomeVR,"Av. Dr. Júlio Marques Luz, 1599 - Jatiúca, Maceió - AL, 57035-700, Brasil",Maceió,board game café
ChIJcRvp0r15GZURj1bFNF3n5jw,HEX Board Game Café,"R. Riachuelo, 1339 - Sala 1003 ( Cobertura - Centro Histórico, Porto Alegre - RS, 90010-270, Brasil",Maceió,board game café
ChIJL48M4dNFAQcRst9EFDPtboU,Terra Média Geek Store,"R. Clementino do Monte, 58 - Farol, Maceió - AL, 57055-612, Brasil",Maceió,board game café
ChIJpZbpu_zVBQcRuPFD4K5R8Co,Taverna: Game & Café,"R. Srg. Benevides Montes, 214 - Primavera, Arapiraca - AL, 57300-230, Brasil",Maceió,board game café
ChIJzf0e5GdFAQcRfkS0E5O8q2A,Casa da cultura Nerd,"R. Santos Pacheco, 28A - Centro, Maceió - AL, 57020-290, Brasil",Maceió,board game café
ChIJ8Sm3w0FJAQcRBgwyl8PaDn8,AL RPG CLUB,"R. Alm. Tamandaré, 59 - Prado, Maceió - AL, 57010-030, Brasil",Maceió,board game café
ChIJ6Yn7M71FAQcRM-u_TrNWSkQ,HomeVR,"Av. Dr. Júlio Marques Luz, 1599 - Jatiúca, Maceió - AL, 57035-700, Brasil",Maceió,café de jogos de tabuleiro
ChIJL48M4dNFAQcRst9EFDPtboU,Terra Média Geek Store,"R. Clementino do Monte, 58 - Farol, Maceió - AL, 57055-612, Brasil",Maceió,café de jogos de tabuleiro
ChIJZz29dnVXzpQRvRh7_YKyUN4,Encounter | Jogos de Tabuleiro | Board Games,"Av. dos Eucaliptos, 204 - Moema, São Paulo - SP, 04517-050, Brasil",Maceió,café de jogos de tabuleiro
ChIJpZbpu_zVBQcRuPFD4K5R8Co,Taverna: Game & Café,"R. Srg. Benevides Montes, 214 - Primavera, Arapiraca - AL, 57300-230, Brasil",Maceió,café de jogos de tabuleiro
ChIJTaG5ALpZzpQRUDErQ-RkfTs,Ludus Luderia,"R. Treze de Maio, 972 - Bela Vista, São Paulo - SP, 01327-000, Brasil",Maceió,café de jogos de tabuleiro
ChIJVwjVEFxIAQcRmMyYF-hi56Q,Encontro dos Amigos,"Por Trás do 5° Distrito - R. Pedrosa, 390 - Tabuleiro do Martins, Maceió - AL, 57081-510, Brasil",Maceió,café de jogos de tabuleiro
ChIJ8Sm3w0FJAQcRBgwyl8PaDn8,AL RPG CLUB,"R. Alm. Tamandaré, 59 - Prado, Maceió - AL, 57010-030, Brasil",Maceió,café de jogos de tabuleiro
ChIJ6Yn7M71FAQcRM-u_TrNWSkQ,HomeVR,"Av. Dr. Júlio Marques Luz, 1599 - Jatiúca, Maceió - AL, 57035-700, Brasil",Maceió,bar de jogos de tabuleiro
ChIJQ1Dw__NIAQcRNXJJQxaP7EM,Mundo do Real,"Av. Maceió, 876 - Tabuleiro do Martins, Maceió - AL, 57061-110, Brasil",Maceió,bar de jogos de tabuleiro
ChIJVwjVEFxIAQcRmMyYF-hi56Q,Encontro dos Amigos,"Por Trás do 5° Distrito - R. Pedrosa, 390 - Tabuleiro do Martins, Maceió - AL, 57081-510, Brasil",Maceió,bar de jogos de tabuleiro
ChIJbTxXJ-xIAQcRhmA-5RC2zdU,Domingos Bar & Churrascaria,"Rua Gilberto Vieria Leite, 105 - Tabuleiro do Martins, Maceió - AL, 57060-080, Brasil",Maceió,bar de jogos de tabuleiro
